feature_list,group_threshold,fitness,metric,p_value,bin_size,group_strata_prop,count_bt,count_at,birth_iteration
"['P_1', 'P_10', 'P_2', 'P_3', 'P_4', 'P_6', 'P_7', 'P_8', 'P_9', 'R_61', 'R_67', 'R_85']",3,4948.232995694571,4948.232995694571,0.0,12,0.4666,5334,4666,49
"['P_10', 'P_2', 'P_5', 'P_6', 'P_7', 'P_8', 'R_45']",1,4913.383122351731,4913.383122351731,0.0,7,0.4652,5348,4652,47
"['P_1', 'P_10', 'P_3', 'P_5', 'P_6', 'P_9', 'R_35']",1,4878.852481628142,4878.852481628142,0.0,7,0.4655,5345,4655,48
"['P_1', 'P_10', 'P_2', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_38', 'R_60']",3,4711.359594203086,4711.359594203086,0.0,11,0.4429,5571,4429,47
"['P_1', 'P_10', 'P_2', 'P_3', 'P_4', 'P_5', 'P_6', 'P_8', 'P_9', 'R_61', 'R_85']",2,4588.747365552147,4588.747365552147,0.0,11,0.4399,5601,4399,49
"['P_1', 'P_10', 'P_2', 'P_3', 'P_7', 'P_8']",1,4581.098246733293,4581.098246733293,0.0,6,0.4401,5599,4401,47
"['P_1', 'P_2', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_51', 'R_61']",2,4559.871825809306,4559.871825809306,0.0,11,0.441,5590,4410,49
"['P_1', 'P_10', 'P_2', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_9', 'R_61', 'R_8']",2,4536.812625426079,4536.812625426079,0.0,11,0.4358,5642,4358,49
"['P_10', 'P_2', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_61', 'R_8']",3,4524.2085930568155,4524.2085930568155,0.0,11,0.4372,5628,4372,47
"['P_1', 'P_10', 'P_2', 'P_3', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_34', 'R_61']",3,4506.360185758486,4506.360185758486,0.0,11,0.4404,5596,4404,48
"['P_1', 'P_10', 'P_2', 'P_3', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_43', 'R_85']",2,4452.427952245853,4452.427952245853,0.0,11,0.4366,5634,4366,49
"['P_1', 'P_10', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_25', 'R_61']",2,4448.562306598406,4448.562306598406,0.0,11,0.4394,5606,4394,49
"['P_10', 'P_2', 'P_3', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_64', 'R_85']",2,4437.4626167529905,4437.4626167529905,0.0,11,0.434,5660,4340,49
"['P_1', 'P_10', 'P_2', 'P_3', 'P_4', 'P_5', 'P_6', 'P_8', 'P_9', 'R_8', 'R_90']",2,4430.8145385562575,4430.8145385562575,0.0,11,0.437,5630,4370,49
"['P_10', 'P_2', 'P_3', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9']",2,4380.627279845917,4380.627279845917,0.0,8,0.4297,5703,4297,46
"['P_1', 'P_10', 'P_2', 'P_4', 'P_5', 'P_6', 'P_7', 'P_8', 'P_9', 'R_38', 'R_60', 'R_61', 'R_85']",3,4300.916585310734,4300.916585310734,0.0,13,0.4963,4963,5037,49
"['P_1', 'P_10', 'P_3', 'P_4', 'P_5', 'P_6', 'P_8', 'P_9', 'R_57', 'R_74', 'R_85']",3,4146.786002114139,4146.786002114139,0.0,11,0.4148,5852,4148,49
