,0
Bin #,Bin 1
Top Bin of Features:,"['P_6', 'P_10', 'P_1', 'P_9', 'P_4', 'P_7']"
Log-Rank Score,5510.448471741305
Number of Instances with No Mismatches in Bin:,5023
Number of Instances with Mismatch(es) in Bin:,4977
p-value from Log Rank Test:,0.0
Threshold,0
