,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,2691.331341267145,"['P_6', 'P_5', 'P_8', 'P_1', 'P_4', 'P_7', 'P_2', 'P_3', 'P_10']",2,0.5868,0.9132
1,Bin 2,2517.25126275547,"['P_6', 'P_5', 'P_8', 'P_1', 'P_4', 'P_7', 'P_2', 'P_3']",2,0.4903,0.8759
2,Bin 3,2513.2600275266122,"['P_4', 'P_5', 'P_2', 'P_9', 'P_3', 'P_8', 'P_6', 'P_7']",2,0.4913,0.8763
3,Bin 4,2476.170017649087,"['R_53', 'P_8', 'P_7', 'P_4', 'P_9', 'P_10', 'P_6', 'P_1', 'P_2', 'P_5']",3,0.4309,0.8545
4,Bin 5,2473.5107416143233,"['P_5', 'P_8', 'P_2', 'P_7', 'P_3', 'P_4', 'P_9', 'P_10']",2,0.4881,0.8763
5,Bin 6,2473.4270192319827,"['P_1', 'P_9', 'P_4', 'P_5', 'P_6', 'P_8', 'P_2', 'P_7']",2,0.4934,0.8782
6,Bin 7,2472.307223566764,"['P_8', 'P_2', 'P_7', 'P_3', 'P_4', 'P_10', 'P_5', 'P_6']",2,0.4905,0.8723
7,Bin 8,2469.057860387587,"['P_2', 'P_6', 'P_10', 'P_3', 'P_5', 'P_4', 'R_43', 'P_7', 'P_9', 'P_1']",3,0.42,0.8476
8,Bin 9,2465.741508347934,"['P_2', 'R_90', 'P_10', 'P_8', 'P_4', 'P_6', 'P_3', 'P_7', 'P_1', 'P_9']",3,0.4279,0.8533
9,Bin 10,2459.2998851579136,"['P_4', 'P_2', 'P_1', 'P_9', 'P_6', 'P_7', 'P_10', 'R_67', 'P_8', 'P_3']",3,0.4312,0.8548
10,Bin 11,2451.250338185935,"['P_8', 'P_2', 'P_3', 'P_9', 'R_66', 'P_10', 'P_7', 'P_1', 'P_5', 'P_4']",3,0.4289,0.8531
11,Bin 12,2442.6673644378207,"['P_2', 'P_10', 'P_5', 'P_1', 'P_3', 'P_6', 'P_8', 'P_7']",2,0.488,0.873
12,Bin 13,2425.7585447070974,"['P_5', 'R_64', 'P_1', 'P_8', 'P_2', 'P_4', 'P_3', 'P_9', 'P_10', 'P_6']",3,0.424,0.8518
13,Bin 14,2415.5322590197306,"['P_7', 'P_9', 'P_4', 'P_6', 'P_3', 'P_5', 'P_10', 'P_2']",2,0.4865,0.8727
14,Bin 15,2385.106449686484,"['P_7', 'P_1', 'P_2', 'P_10', 'P_8', 'P_4', 'P_6', 'P_3', 'R_57', 'P_5']",3,0.4289,0.8477
15,Bin 16,2380.342398364577,"['P_4', 'P_6', 'P_8', 'P_5', 'P_10', 'P_7', 'P_1', 'P_2']",2,0.4911,0.8723
16,Bin 17,2357.5342023918593,"['P_7', 'R_86', 'P_9', 'P_4', 'P_3', 'P_6', 'P_8', 'P_5', 'P_10', 'P_1']",3,0.4267,0.8527
17,Bin 18,2331.859607342145,"['P_5', 'P_8', 'P_2', 'P_3', 'P_10', 'P_1', 'P_4', 'R_43', 'P_6', 'P_7']",3,0.4223,0.8461
18,Bin 19,2158.7951041121223,"['P_4', 'P_6', 'R_89', 'P_10', 'P_7', 'P_2', 'P_5', 'P_1', 'R_18', 'P_8', 'P_3', 'P_9']",3,0.6119,0.8881
19,Bin 20,2017.0493776199614,"['R_64', 'P_4', 'P_5', 'P_9', 'P_3', 'P_8', 'R_67', 'P_7', 'P_1', 'P_10', 'P_2']",3,0.5242,0.8546
20,Bin 21,2015.8080466262597,"['P_2', 'P_5', 'P_1', 'P_8', 'P_9', 'P_4', 'P_3']",2,0.3696,0.8026
21,Bin 22,2010.118981060718,"['P_6', 'P_8', 'P_1', 'P_2', 'P_9', 'P_3', 'P_7']",2,0.3684,0.8008
22,Bin 23,1981.4783520339356,"['P_5', 'P_8', 'P_2', 'P_7', 'P_3', 'P_4', 'P_6']",2,0.371,0.7976
23,Bin 24,1980.9244479321983,"['P_2', 'P_10', 'P_5', 'P_4', 'R_43', 'P_7', 'P_9', 'P_1', 'R_17', 'P_6', 'P_3']",3,0.5186,0.852
24,Bin 25,1974.5783163352219,"['P_7', 'P_1', 'P_9', 'P_2', 'P_4', 'P_6', 'P_3']",2,0.371,0.8028
25,Bin 26,1968.258204250575,"['P_2', 'R_48', 'P_6', 'P_10', 'P_3', 'P_5', 'P_4', 'P_7', 'P_9', 'P_1', 'R_86']",3,0.5274,0.858
