,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,794.1960278165564,"['P_1', 'P_5', 'P_4', 'P_7']",0,0.6985
1,Bin 2,793.1073306374161,"['P_1', 'P_10', 'P_4', 'P_5']",0,0.6958
2,Bin 3,785.7771176466722,"['P_5', 'P_4', 'P_1']",0,0.6103
3,Bin 4,775.6699883627647,"['P_1', 'P_3', 'P_4', 'P_5']",0,0.6978
4,Bin 5,774.8320400423872,"['P_6', 'P_1', 'P_5', 'P_4']",0,0.7014
5,Bin 6,773.2460658069721,"['P_10', 'P_1', 'P_4', 'P_7']",0,0.6989
6,Bin 7,764.2474462924836,"['P_3', 'P_5', 'P_2', 'P_4']",0,0.699
7,Bin 8,763.5908711461027,"['P_5', 'P_7', 'P_10', 'P_4']",0,0.6974
8,Bin 9,762.3801927907061,"['P_7', 'P_1', 'P_4', 'P_5', 'P_10']",0,0.7563
9,Bin 10,761.3345186265277,"['P_5', 'P_4', 'P_1', 'P_2']",0,0.7016
10,Bin 11,754.127806939911,"['P_6', 'P_4', 'P_10', 'P_5']",0,0.6991
11,Bin 12,752.7602097487754,"['P_1', 'P_10', 'P_2', 'P_7']",0,0.6967
12,Bin 13,752.3304101701099,"['P_4', 'P_6', 'P_5']",0,0.6091
13,Bin 14,751.104594836562,"['P_1', 'P_5', 'P_7', 'P_10']",0,0.6952
14,Bin 15,747.1954012872919,"['P_4', 'P_10', 'P_5', 'P_2']",0,0.6973
15,Bin 16,747.1135599952805,"['P_7', 'P_1', 'P_2', 'P_4']",0,0.6997
16,Bin 17,744.654335051166,"['P_1', 'P_7', 'P_4']",0,0.6095
17,Bin 18,743.480971391315,"['P_6', 'P_5', 'P_4', 'P_7']",0,0.7009
18,Bin 19,742.8893759105623,"['P_3', 'P_10', 'P_2', 'P_1']",0,0.6952
19,Bin 20,741.8149069890409,"['P_5', 'P_4', 'P_2']",0,0.61
20,Bin 21,739.7592339824979,"['P_5', 'P_7', 'P_2', 'P_4']",0,0.7001
21,Bin 22,737.7542971281155,"['P_3', 'P_5', 'P_2', 'P_10']",0,0.6948
22,Bin 23,736.1187473834574,"['P_3', 'P_5', 'P_1', 'P_2']",0,0.6935
23,Bin 24,734.7555819777011,"['P_4', 'P_3', 'P_5', 'P_7']",0,0.6976
24,Bin 25,734.6967826078271,"['P_7', 'P_3', 'P_5', 'P_2']",0,0.6966
25,Bin 26,733.3960142333794,"['P_1', 'P_2', 'P_4', 'P_3']",0,0.6988
26,Bin 27,731.9701679236028,"['P_1', 'P_10', 'P_7']",0,0.6076
27,Bin 28,731.2586465586108,"['P_1', 'P_5', 'P_7', 'P_3']",0,0.6919
28,Bin 29,731.1665518471236,"['P_5', 'P_4', 'P_6', 'P_2']",0,0.7002
29,Bin 30,730.357533680732,"['P_1', 'P_5', 'P_10', 'P_2']",0,0.6957
30,Bin 31,726.6839261044557,"['P_7', 'P_4', 'P_5']",0,0.6074
31,Bin 32,723.2659632278791,"['P_5', 'P_2', 'P_10', 'P_7']",0,0.6952
32,Bin 33,723.0409712104105,"['P_6', 'P_4', 'P_3', 'P_5']",0,0.6979
33,Bin 34,722.2220676850988,"['P_6', 'P_1', 'P_5', 'P_4', 'P_10']",0,0.7587
34,Bin 35,722.1705507086848,"['P_7', 'P_3', 'P_2', 'P_1']",0,0.6945
35,Bin 36,721.8960377202891,"['P_1', 'P_7', 'P_4', 'P_6']",0,0.7038
36,Bin 37,721.4175283715987,"['P_10', 'P_1', 'P_3', 'P_4', 'P_5']",0,0.7542
37,Bin 38,721.3189439937814,"['P_1', 'P_5', 'P_7', 'P_2']",0,0.6941
38,Bin 39,720.1644457730785,"['P_4', 'P_10', 'P_5', 'P_3']",0,0.6934
39,Bin 40,719.012446232985,"['P_4', 'P_9', 'P_5', 'P_7']",0,0.6975
40,Bin 45,496.3939582488508,"['P_10', 'P_3']",0,0.4636
41,Bin 48,382.8625811364917,['P_4'],0,0.2818
42,Bin 47,317.89378642625064,['P_7'],0,0.2742
43,Bin 49,207.42055662779842,"['P_7', 'P_1', 'R_29', 'P_6']",0,0.7891
44,Bin 41,174.38893252805607,"['R_62', 'P_5', 'P_7']",0,0.6999
45,Bin 44,85.09073637017124,"['P_8', 'R_28']",0,0.5863
46,Bin 42,0.0,"['P_1', 'R_25', 'P_4', 'R_69', 'P_3', 'P_7']",0,0.9078
47,Bin 43,0.0,"['R_75', 'P_4', 'P_6', 'R_62', 'P_1', 'P_2']",0,0.9151
48,Bin 46,0.0,"['R_28', 'P_10', 'R_49', 'P_7', 'P_1']",0,0.8804
49,Bin 50,0.0,"['R_28', 'R_61', 'R_55', 'R_5']",0,0.9097
