,0
Bin #,Bin 1
Top Bin of Features:,"['P_6', 'P_5', 'P_8', 'P_1', 'P_4', 'P_7', 'P_2', 'P_3', 'P_10']"
Log-Rank Score,2691.331341267145
Number of Instances with No Mismatches in Bin:,4132
Number of Instances with Mismatch(es) in Bin:,5868
p-value from Log Rank Test:,0.0
Threshold,2
