,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,5510.448471741305,"['P_6', 'P_10', 'P_1', 'P_9', 'P_4', 'P_7']",0,0.4977
1,Bin 2,5497.678139946757,"['P_3', 'P_10', 'P_5', 'P_9', 'P_2', 'R_36', 'P_1', 'P_4', 'P_6']",1,0.5
2,Bin 3,5497.678139946757,"['P_3', 'P_4', 'P_1', 'P_5', 'P_7', 'P_6', 'P_9']",0,0.5
3,Bin 4,5497.678139946757,"['P_9', 'P_10', 'P_3', 'P_1', 'P_6', 'P_5', 'P_2']",0,0.5
4,Bin 5,5497.678139946757,"['P_3', 'P_10', 'P_5', 'P_6', 'P_4', 'P_1', 'P_2']",0,0.5
5,Bin 6,5497.678139946757,"['P_3', 'P_4', 'P_7', 'P_9', 'P_1', 'P_6', 'P_5', 'P_2']",0,0.5
6,Bin 7,5497.678139946757,"['P_5', 'P_6', 'P_4', 'P_10', 'P_7', 'P_9', 'P_2']",0,0.5
7,Bin 8,5497.678139946757,"['P_4', 'P_10', 'P_7', 'P_5', 'P_1', 'P_6', 'P_9']",0,0.5
8,Bin 9,5497.678139946757,"['P_5', 'P_6', 'P_10', 'P_7', 'P_4', 'P_1', 'P_3', 'P_9']",0,0.5
9,Bin 10,5497.678139946757,"['P_6', 'P_10', 'P_7', 'P_4', 'P_1', 'P_5', 'P_2']",0,0.5
10,Bin 11,5497.678139946757,"['P_5', 'P_2', 'P_9', 'P_3', 'P_4', 'P_1', 'P_7']",0,0.5
11,Bin 12,5497.678139946757,"['P_3', 'P_10', 'P_6', 'P_4', 'P_2', 'R_7', 'P_1', 'P_5', 'P_9']",1,0.5
12,Bin 13,5497.678139946757,"['R_61', 'P_1', 'P_6', 'P_5', 'P_2', 'P_3', 'P_4', 'P_9', 'P_10']",1,0.5
13,Bin 14,5497.678139946757,"['P_4', 'P_7', 'P_1', 'P_6', 'P_9', 'P_5', 'P_2']",0,0.5
14,Bin 15,5497.678139946757,"['P_2', 'P_10', 'P_8', 'P_1', 'P_4', 'P_6', 'P_9']",0,0.5
15,Bin 16,5497.678139946757,"['P_10', 'P_1', 'P_4', 'P_9', 'P_5', 'P_3', 'P_2']",0,0.5
16,Bin 17,5497.678139946757,"['P_5', 'P_6', 'P_10', 'R_31', 'P_7', 'P_1', 'P_3', 'P_9', 'P_2']",1,0.5
17,Bin 18,5497.678139946757,"['R_66', 'P_4', 'P_3', 'P_9', 'P_6', 'P_1', 'P_5', 'P_2', 'P_8']",1,0.5
18,Bin 19,5497.678139946757,"['P_5', 'R_62', 'P_10', 'P_7', 'P_3', 'P_9', 'P_1', 'P_6', 'P_2']",1,0.5
19,Bin 20,5497.678139946757,"['P_6', 'P_5', 'P_8', 'P_3', 'P_4', 'P_2', 'P_10', 'P_7']",0,0.5
20,Bin 21,5497.678139946757,"['P_3', 'P_9', 'P_6', 'P_1', 'P_4', 'P_10', 'P_7']",0,0.5
21,Bin 22,5497.678139946757,"['P_5', 'P_6', 'P_4', 'P_10', 'P_7', 'R_58', 'P_2', 'P_1', 'P_9']",1,0.5
