,0
Bin #,Bin 1
Top Bin of Features:,"['P_7', 'P_4', 'P_6', 'P_2', 'P_5', 'P_1', 'P_8', 'P_3', 'P_9']"
Log-Rank Score,5497.678139946757
Number of Instances with No Mismatches in Bin:,5000
Number of Instances with Mismatch(es) in Bin:,5000
p-value from Log Rank Test:,0.0
Threshold,2
