,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,5497.678139946757,"['P_5', 'P_9', 'P_6', 'P_3', 'P_2', 'P_1', 'P_8', 'P_4']",1,0.5,1.0
1,Bin 2,5497.678139946757,"['P_9', 'P_2', 'P_10', 'P_4', 'P_1', 'P_8', 'P_6', 'P_7']",1,0.5,1.0
2,Bin 3,5497.678139946757,"['P_9', 'P_3', 'P_4', 'P_5', 'P_2', 'P_6', 'P_10', 'P_1']",1,0.5,1.0
3,Bin 4,5497.678139946757,"['P_9', 'P_10', 'P_8', 'P_6', 'P_2', 'P_1', 'P_5', 'P_4']",1,0.5,1.0
4,Bin 5,5497.678139946757,"['P_5', 'P_9', 'P_6', 'P_3', 'P_2', 'P_1', 'P_8', 'P_4', 'P_7']",1,0.5,1.0
5,Bin 6,5497.678139946757,"['P_9', 'P_6', 'P_3', 'P_2', 'P_1', 'P_8', 'P_4', 'P_7']",1,0.5,1.0
6,Bin 7,5497.678139946757,"['P_9', 'P_4', 'P_7', 'P_2', 'P_8', 'P_6', 'P_10', 'P_3']",1,0.5,1.0
7,Bin 8,5497.678139946757,"['P_9', 'P_1', 'P_8', 'P_4', 'P_2', 'P_10', 'P_5', 'P_7']",1,0.5,1.0
8,Bin 9,5497.678139946757,"['P_7', 'P_5', 'P_6', 'P_3', 'P_2', 'P_1', 'P_8', 'P_4']",1,0.5,1.0
9,Bin 10,5497.678139946757,"['P_5', 'P_9', 'P_6', 'P_2', 'P_1', 'P_8', 'P_7', 'P_3']",1,0.5,1.0
10,Bin 11,5497.678139946757,"['P_9', 'P_3', 'P_1', 'P_4', 'P_7', 'P_8', 'P_2', 'P_5', 'P_10']",1,0.5,1.0
11,Bin 12,5497.678139946757,"['P_10', 'P_6', 'P_1', 'P_5', 'P_4', 'P_9', 'P_2', 'P_3', 'P_8']",1,0.5,1.0
12,Bin 13,5372.685415721096,"['P_9', 'P_8', 'P_6', 'P_2', 'P_1', 'P_5', 'P_4']",1,0.4862,0.9862
13,Bin 14,5328.663683641092,"['P_9', 'P_10', 'P_7', 'P_6', 'P_2', 'P_1', 'P_4']",1,0.4848,0.9848
14,Bin 15,5326.599725615989,"['P_9', 'P_3', 'P_1', 'P_8', 'P_4', 'P_5', 'P_2']",1,0.4854,0.9854
15,Bin 16,5290.715266877191,"['P_9', 'P_6', 'P_1', 'P_4', 'P_7', 'P_10', 'P_3']",1,0.4832,0.9832
16,Bin 17,5278.583043892671,"['P_10', 'P_7', 'P_8', 'P_9', 'P_2', 'P_6', 'P_1']",1,0.4847,0.9847
17,Bin 18,5268.767125863905,"['P_5', 'P_4', 'P_10', 'P_1', 'P_9', 'P_8', 'P_2']",1,0.485,0.985
18,Bin 19,5264.039042924878,"['P_6', 'P_10', 'P_5', 'P_7', 'P_4', 'P_1', 'P_8']",1,0.4842,0.9842
19,Bin 20,5263.684071809309,"['P_6', 'P_1', 'P_4', 'P_5', 'P_7', 'P_10', 'P_3']",1,0.4836,0.9836
20,Bin 21,5258.892086535156,"['P_9', 'P_8', 'P_6', 'P_2', 'P_3', 'P_4', 'P_1']",1,0.4859,0.9859
21,Bin 22,5245.744028980358,"['P_9', 'P_8', 'P_2', 'P_1', 'P_5', 'P_10', 'P_3']",1,0.4827,0.9827
22,Bin 23,5241.457024414519,"['P_6', 'P_2', 'P_1', 'P_10', 'P_4', 'P_5', 'P_7']",1,0.4841,0.9841
23,Bin 24,5234.1819847352,"['P_9', 'P_4', 'P_6', 'P_3', 'P_1', 'P_7', 'P_2']",1,0.4837,0.9837
24,Bin 25,5227.904090358845,"['P_4', 'P_9', 'P_8', 'P_6', 'P_7', 'P_10', 'P_3']",1,0.4854,0.9854
25,Bin 26,5225.679235564054,"['P_5', 'P_4', 'P_2', 'P_1', 'P_8', 'P_10', 'P_6']",1,0.4836,0.9836
26,Bin 27,5225.567307510684,"['P_1', 'P_7', 'P_3', 'P_6', 'P_10', 'P_9', 'P_2']",1,0.4857,0.9857
