,0
Bin #,Bin 1
Top Bin of Features:,"['P_4', 'P_5', 'P_1', 'P_9']"
Log-Rank Score,2076.942390965391
Number of Instances with No Mismatches in Bin:,4348
Number of Instances with Mismatch(es) in Bin:,5652
p-value from Log Rank Test:,0.0
Threshold,0
