,0
Bin #,Bin 1
Top Bin of Features:,"['P_5', 'P_2', 'P_10', 'P_3', 'P_4', 'P_1', 'P_9', 'P_7']"
Log-Rank Score,4344.470056692376
Number of Instances with No Mismatches in Bin:,5686
Number of Instances with Mismatch(es) in Bin:,4314
p-value from Log Rank Test:,0.0
Threshold,2
