,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,4623.238754060668,"['P_2', 'P_9', 'P_1', 'P_6', 'P_4', 'P_3', 'P_5', 'P_8']",2,0.4392
1,Bin 2,4529.126703260523,"['P_10', 'P_6', 'P_3', 'P_2', 'P_8', 'P_1', 'P_7', 'P_9']",2,0.4357
2,Bin 3,4514.430597509409,"['P_7', 'P_4', 'P_8', 'P_1', 'P_9', 'P_5', 'P_2', 'P_6']",2,0.4358
3,Bin 4,4467.247434898826,"['P_10', 'P_1', 'P_5', 'P_7', 'P_2', 'P_3', 'P_4', 'P_6']",2,0.4351
4,Bin 5,4447.639681908118,"['P_1', 'P_9', 'P_4', 'P_8', 'P_10', 'P_7', 'P_5', 'P_6']",2,0.4361
5,Bin 6,4427.3702915042895,"['P_3', 'P_2', 'P_8', 'P_9', 'P_4', 'P_1', 'P_7', 'P_6']",2,0.4349
6,Bin 7,4398.217313757544,"['P_10', 'P_6', 'P_4', 'P_3', 'P_2', 'P_8', 'P_1', 'P_7']",2,0.4334
7,Bin 8,3646.9912979728697,"['P_3', 'P_10', 'P_9', 'P_6', 'P_2', 'P_1', 'R_67', 'P_4', 'P_7', 'P_5']",3,0.3881
8,Bin 9,3497.6897772312986,"['R_32', 'P_8', 'P_10', 'P_4', 'P_2', 'R_90', 'P_3', 'P_9', 'P_7', 'P_5', 'P_1']",3,0.4586
9,Bin 10,3442.5373800401208,"['P_2', 'P_7', 'P_6', 'P_10', 'P_4', 'P_8', 'R_42', 'P_1', 'P_3', 'R_52', 'P_9']",3,0.4656
10,Bin 11,3361.08906681738,"['P_10', 'P_1', 'P_5', 'P_7', 'P_2', 'P_3', 'R_15', 'P_4', 'P_6', 'R_59', 'P_9']",3,0.4651
11,Bin 12,3289.2496162618454,"['R_45', 'P_3', 'P_2', 'P_1', 'P_10', 'P_9', 'P_7', 'P_6', 'P_4', 'R_65', 'P_8']",3,0.4691
12,Bin 13,3269.1477078293337,"['R_45', 'P_2', 'P_1', 'P_10', 'P_7', 'P_6', 'R_65', 'P_8', 'P_5', 'P_4', 'P_9']",3,0.4676
13,Bin 14,3268.5596812221206,"['P_1', 'P_10', 'P_9', 'P_4', 'P_8', 'P_5', 'P_2']",2,0.3385
14,Bin 15,3221.3126933031276,"['P_8', 'P_6', 'P_10', 'P_1', 'P_4', 'P_7', 'P_2']",2,0.3392
15,Bin 16,3220.4594361106856,"['P_3', 'P_2', 'P_1', 'P_8', 'P_10', 'P_9', 'P_7']",2,0.3351
16,Bin 17,3214.6578321279785,"['P_7', 'P_5', 'P_2', 'P_8', 'P_6', 'P_1', 'P_4']",2,0.335
17,Bin 18,3203.1828636032083,"['P_3', 'P_8', 'P_9', 'P_4', 'P_1', 'P_7', 'P_2']",2,0.341
