,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,5497.678139946757,"['P_5', 'P_9', 'P_6', 'P_3', 'P_2', 'P_1', 'P_8', 'P_4']",1,0.5
1,Bin 2,5497.678139946757,"['P_9', 'P_2', 'P_10', 'P_4', 'P_1', 'P_8', 'P_6', 'P_7']",1,0.5
2,Bin 3,5497.678139946757,"['P_9', 'P_3', 'P_4', 'P_5', 'P_2', 'P_6', 'P_10', 'P_1']",1,0.5
3,Bin 4,5497.678139946757,"['P_9', 'P_10', 'P_8', 'P_6', 'P_2', 'P_1', 'P_5', 'P_4']",1,0.5
4,Bin 5,5497.678139946757,"['P_5', 'P_9', 'P_6', 'P_3', 'P_2', 'P_1', 'P_8', 'P_4', 'P_7']",1,0.5
5,Bin 6,5497.678139946757,"['P_9', 'P_6', 'P_3', 'P_2', 'P_1', 'P_8', 'P_4', 'P_7']",1,0.5
6,Bin 7,5497.678139946757,"['P_9', 'P_4', 'P_7', 'P_2', 'P_8', 'P_6', 'P_10', 'P_3']",1,0.5
7,Bin 8,5497.678139946757,"['P_9', 'P_1', 'P_8', 'P_4', 'P_2', 'P_10', 'P_5', 'P_7']",1,0.5
8,Bin 9,5497.678139946757,"['P_7', 'P_5', 'P_6', 'P_3', 'P_2', 'P_1', 'P_8', 'P_4']",1,0.5
9,Bin 10,5497.678139946757,"['P_5', 'P_9', 'P_6', 'P_2', 'P_1', 'P_8', 'P_7', 'P_3']",1,0.5
10,Bin 11,5497.678139946757,"['P_9', 'P_3', 'P_1', 'P_4', 'P_7', 'P_8', 'P_2', 'P_5', 'P_10']",1,0.5
11,Bin 12,5497.678139946757,"['P_10', 'P_6', 'P_1', 'P_5', 'P_4', 'P_9', 'P_2', 'P_3', 'P_8']",1,0.5
12,Bin 13,5372.685415721096,"['P_9', 'P_8', 'P_6', 'P_2', 'P_1', 'P_5', 'P_4']",1,0.4862
13,Bin 14,5328.663683641092,"['P_9', 'P_10', 'P_7', 'P_6', 'P_2', 'P_1', 'P_4']",1,0.4848
14,Bin 15,5326.599725615989,"['P_9', 'P_3', 'P_1', 'P_8', 'P_4', 'P_5', 'P_2']",1,0.4854
15,Bin 16,5290.715266877191,"['P_9', 'P_6', 'P_1', 'P_4', 'P_7', 'P_10', 'P_3']",1,0.4832
16,Bin 17,5278.583043892671,"['P_10', 'P_7', 'P_8', 'P_9', 'P_2', 'P_6', 'P_1']",1,0.4847
17,Bin 18,5268.767125863905,"['P_5', 'P_4', 'P_10', 'P_1', 'P_9', 'P_8', 'P_2']",1,0.485
18,Bin 19,5264.039042924878,"['P_6', 'P_10', 'P_5', 'P_7', 'P_4', 'P_1', 'P_8']",1,0.4842
19,Bin 20,5263.684071809309,"['P_6', 'P_1', 'P_4', 'P_5', 'P_7', 'P_10', 'P_3']",1,0.4836
20,Bin 21,5258.892086535156,"['P_9', 'P_8', 'P_6', 'P_2', 'P_3', 'P_4', 'P_1']",1,0.4859
21,Bin 22,5245.744028980358,"['P_9', 'P_8', 'P_2', 'P_1', 'P_5', 'P_10', 'P_3']",1,0.4827
22,Bin 23,5241.457024414519,"['P_6', 'P_2', 'P_1', 'P_10', 'P_4', 'P_5', 'P_7']",1,0.4841
23,Bin 24,5234.1819847352,"['P_9', 'P_4', 'P_6', 'P_3', 'P_1', 'P_7', 'P_2']",1,0.4837
24,Bin 25,5227.904090358845,"['P_4', 'P_9', 'P_8', 'P_6', 'P_7', 'P_10', 'P_3']",1,0.4854
25,Bin 26,5225.679235564054,"['P_5', 'P_4', 'P_2', 'P_1', 'P_8', 'P_10', 'P_6']",1,0.4836
26,Bin 27,5225.567307510684,"['P_1', 'P_7', 'P_3', 'P_6', 'P_10', 'P_9', 'P_2']",1,0.4857
27,Bin 28,5223.302730711635,"['P_9', 'P_1', 'P_8', 'P_7', 'P_5', 'P_2', 'P_4']",1,0.483
28,Bin 29,5218.872553793802,"['P_9', 'P_4', 'P_6', 'P_3', 'P_2', 'P_1', 'P_5']",1,0.4841
29,Bin 30,5218.653380266852,"['P_5', 'P_4', 'P_10', 'P_9', 'P_2', 'P_3', 'P_8']",1,0.4817
30,Bin 31,5212.429520103077,"['P_1', 'P_4', 'P_5', 'P_7', 'P_3', 'P_9', 'P_2']",1,0.4828
31,Bin 32,5209.444328214935,"['P_6', 'P_5', 'P_7', 'P_10', 'P_3', 'P_9', 'P_2']",1,0.482
32,Bin 33,5205.594717337725,"['P_4', 'P_5', 'P_2', 'P_6', 'P_10', 'P_1', 'P_9']",1,0.4837
33,Bin 34,5203.407317586289,"['P_6', 'P_9', 'P_7', 'P_1', 'P_8', 'P_5', 'P_2']",1,0.4831
34,Bin 35,5198.542977217183,"['P_7', 'P_8', 'P_9', 'P_2', 'P_5', 'P_6', 'P_10']",1,0.4817
35,Bin 36,5196.934172829778,"['P_3', 'P_4', 'P_2', 'P_6', 'P_1', 'P_10', 'P_8']",1,0.4827
36,Bin 37,5192.455356730639,"['P_3', 'P_9', 'P_4', 'P_5', 'P_2', 'P_6', 'P_10']",1,0.4802
