,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,2076.942390965391,"['P_4', 'P_5', 'P_1', 'P_9']",0,0.5652
1,Bin 2,2066.663192998769,"['P_5', 'P_4', 'P_1', 'P_6']",0,0.5656
2,Bin 3,2052.094670262457,"['P_4', 'P_7', 'P_5', 'P_1']",0,0.5647
3,Bin 4,2050.2951100635587,"['P_4', 'P_2', 'P_5', 'P_1']",0,0.5648
4,Bin 5,2046.2470304786773,"['P_4', 'P_5', 'P_1']",0,0.495
5,Bin 6,2040.8882079548625,"['P_9', 'P_1', 'P_2', 'P_5']",0,0.5629
6,Bin 7,2039.541555007047,"['P_1', 'P_9', 'P_8', 'P_5']",0,0.5644
7,Bin 8,2030.2297940595722,"['P_1', 'P_4', 'P_8', 'P_5']",0,0.5671
8,Bin 9,2024.1485209503783,"['P_6', 'P_4', 'P_9', 'P_5']",0,0.563
9,Bin 10,2019.1488880887907,"['P_4', 'P_1', 'P_3', 'P_5']",0,0.5635
10,Bin 11,2012.7839469083015,"['P_5', 'P_1', 'P_9', 'P_3']",0,0.5604
11,Bin 12,2009.5898455895854,"['P_1', 'P_2', 'P_9', 'P_4']",0,0.5682
12,Bin 13,2007.4472571844021,"['P_5', 'P_4', 'P_10', 'P_1']",0,0.5642
13,Bin 14,2006.2145485149574,"['P_9', 'P_5', 'P_6', 'P_1']",0,0.5624
14,Bin 15,2004.310171342968,"['P_4', 'P_5', 'P_3', 'P_2']",0,0.5627
15,Bin 16,2001.9955787593435,"['P_1', 'P_4', 'P_9']",0,0.4972
16,Bin 17,2001.4730623381274,"['P_9', 'P_5', 'P_10', 'P_1']",0,0.564
17,Bin 18,1999.2803540426828,"['P_1', 'P_3', 'P_5', 'P_6']",0,0.5617
18,Bin 19,1996.7698209062798,"['P_5', 'P_1', 'P_6', 'P_7']",0,0.5638
19,Bin 20,1996.5448452174949,"['P_4', 'P_9', 'P_2', 'P_5']",0,0.5625
20,Bin 21,1996.128412186239,"['P_6', 'P_4', 'P_9', 'P_1']",0,0.5655
21,Bin 22,1994.150700133192,"['P_2', 'P_5', 'P_9', 'P_8']",0,0.5641
22,Bin 23,1991.0443718295705,"['P_5', 'P_3', 'P_6', 'P_7']",0,0.5616
23,Bin 24,1990.264390870327,"['P_1', 'P_9', 'P_8', 'P_2']",0,0.5686
24,Bin 25,1988.3454499438053,"['P_9', 'P_1', 'P_10', 'P_7']",0,0.5701
25,Bin 26,1986.444338689041,"['P_1', 'P_9', 'P_3', 'P_8']",0,0.5646
26,Bin 27,1986.1221017485204,"['P_1', 'P_5', 'P_3', 'P_7']",0,0.5585
27,Bin 28,1985.568464496705,"['P_4', 'P_1', 'P_9', 'P_8']",0,0.5695
28,Bin 29,1985.1707716928245,"['P_5', 'P_3', 'P_2', 'P_9']",0,0.5598
29,Bin 30,1984.3607329561778,"['P_4', 'P_2', 'P_5', 'P_8']",0,0.5652
30,Bin 31,1983.1226204732493,"['P_10', 'P_1', 'P_4', 'P_9']",0,0.5666
31,Bin 32,1981.083710598669,"['P_1', 'P_10', 'P_5', 'P_7']",0,0.563
32,Bin 33,1979.2620087800215,"['P_5', 'P_3', 'P_1', 'P_2']",0,0.5607
33,Bin 34,1978.8487594567694,"['P_6', 'P_4', 'P_5']",0,0.4917
34,Bin 35,1978.5634307925648,"['P_1', 'P_4', 'P_9', 'P_7']",0,0.5668
35,Bin 36,1978.0428105301855,"['P_8', 'P_6', 'P_4', 'P_5']",0,0.5671
36,Bin 37,1977.096698017481,"['P_6', 'P_7', 'P_4', 'P_9']",0,0.5695
37,Bin 38,1975.954800985389,"['P_1', 'P_8', 'P_5', 'P_3']",0,0.5625
38,Bin 39,1975.5293979962532,"['P_1', 'P_10', 'P_7', 'P_6']",0,0.5686
39,Bin 40,1975.2481474282304,"['P_4', 'P_2', 'P_5']",0,0.4913
40,Bin 42,1913.2683054594681,"['P_9', 'P_8', 'P_2']",0,0.497
41,Bin 45,1861.2918730122674,"['P_1', 'P_2', 'P_5', 'P_9', 'P_7']",0,0.6098
42,Bin 46,1647.4551995167335,"['P_9', 'P_1']",0,0.3878
43,Bin 49,1519.1966671593896,"['P_4', 'P_8']",0,0.3922
44,Bin 48,949.6191608803142,['P_4'],0,0.2315
45,Bin 41,346.71887782967144,"['P_5', 'R_14', 'P_6']",0,0.6522
46,Bin 44,162.5119154281843,"['P_9', 'R_28']",0,0.5609
47,Bin 43,0.0,"['R_33', 'P_3', 'P_2', 'R_85', 'P_1', 'P_10', 'R_82', 'P_5']",0,0.9344
48,Bin 47,0.0,"['R_82', 'P_8', 'R_77', 'P_1', 'P_4']",0,0.8489
49,Bin 50,0.0,"['R_28', 'R_61', 'R_55', 'R_5']",0,0.9118
