,0
Bin #,Bin 1
Top Bin of Features:,"['P_2', 'P_9', 'P_4', 'P_8', 'P_1', 'P_3', 'P_10']"
Log-Rank Score,5299.342360401052
Number of Instances with No Mismatches in Bin:,5151
Number of Instances with Mismatch(es) in Bin:,4849
p-value from Log Rank Test:,0.0
Threshold,1
