,0
Bin #,Bin 1
Top Bin of Features:,"['P_2', 'P_1', 'P_8', 'P_6', 'P_10', 'P_7', 'R_60', 'P_5', 'P_9', 'P_4']"
Log-Rank Score,2369.2625403633456
Number of Instances with No Mismatches in Bin:,5713
Number of Instances with Mismatch(es) in Bin:,4287
p-value from Log Rank Test:,0.0
Threshold,3
