,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,2369.2625403633456,"['P_2', 'P_1', 'P_8', 'P_6', 'P_10', 'P_7', 'R_60', 'P_5', 'P_9', 'P_4']",3,0.4287
1,Bin 2,2021.9416170651898,"['P_1', 'P_2', 'P_5', 'P_7', 'P_8', 'P_9', 'P_4']",2,0.3736
2,Bin 3,1926.0690643765065,"['P_1', 'P_8', 'P_7', 'P_10', 'P_4', 'P_9', 'R_45', 'P_2', 'P_3']",3,0.316
3,Bin 4,1893.7259416586767,"['P_2', 'P_8', 'P_9', 'P_1', 'P_6', 'P_10', 'P_7']",2,0.3702
4,Bin 5,1878.1062357413323,"['P_5', 'P_2', 'P_7', 'P_6', 'P_1', 'P_3', 'P_8']",2,0.3622
5,Bin 6,1859.4603810574135,"['P_4', 'P_7', 'P_6', 'P_2', 'P_8', 'P_10', 'P_9']",2,0.3728
6,Bin 7,1846.033602566083,"['P_5', 'P_2', 'P_8', 'P_7', 'P_10', 'P_6', 'P_3']",2,0.3641
7,Bin 8,1830.3736895110007,"['P_5', 'P_2', 'P_1', 'P_8', 'P_7', 'P_10', 'P_4']",2,0.3714
8,Bin 9,1749.267666015338,"['P_5', 'P_2', 'P_7', 'P_1', 'P_6', 'P_3', 'P_10']",2,0.3646
9,Bin 10,1745.0792411491639,"['P_2', 'P_6', 'P_3', 'P_7', 'P_1', 'P_8', 'P_9', 'R_6', 'P_10']",2,0.5785
10,Bin 11,1742.828679188614,"['P_4', 'P_6', 'P_8', 'P_10', 'P_9', 'P_1', 'R_1', 'P_7', 'P_2']",2,0.5794
11,Bin 12,1741.1523387480697,"['P_5', 'P_7', 'P_8', 'P_10', 'P_4', 'P_1', 'P_6']",2,0.3704
12,Bin 13,1732.49424784382,"['P_2', 'P_8', 'P_9', 'R_61', 'P_4', 'P_7', 'P_1', 'P_10', 'P_6']",2,0.5805
13,Bin 14,1718.9856975925225,"['P_8', 'P_6', 'P_5', 'P_10', 'P_7', 'P_9', 'P_4']",2,0.3701
14,Bin 15,1695.1764220187517,"['P_5', 'P_7', 'P_2', 'P_6', 'P_4', 'P_8', 'P_9', 'R_15', 'P_10']",2,0.5815
15,Bin 16,1664.6470086853735,"['P_1', 'P_2', 'P_8', 'P_9', 'R_61', 'P_3', 'P_6', 'R_69', 'P_4', 'P_7']",3,0.4326
16,Bin 17,1653.4832398169226,"['P_1', 'P_2', 'P_7', 'P_8', 'P_9', 'P_4', 'R_61', 'P_3']",2,0.4906
17,Bin 18,1648.0585732656887,"['P_5', 'P_7', 'P_1', 'P_3', 'P_10', 'R_28', 'P_4', 'P_6']",2,0.4874
18,Bin 19,1625.1223102262097,"['P_5', 'R_87', 'P_7', 'P_6', 'P_1', 'P_8', 'P_4', 'R_7', 'P_10', 'P_9']",3,0.4359
19,Bin 20,1612.1153761087978,"['P_1', 'P_8', 'P_9', 'R_59', 'P_4', 'P_2', 'P_3', 'P_6']",2,0.4905
20,Bin 21,1604.3903562558646,"['P_8', 'P_1', 'R_32', 'P_6', 'P_9', 'P_4', 'P_7', 'P_10']",2,0.4948
21,Bin 22,1587.0896777297546,"['R_42', 'P_6', 'P_2', 'P_10', 'P_9', 'P_4', 'P_7', 'P_1']",2,0.4916
22,Bin 23,1585.0866431922022,"['P_8', 'P_1', 'P_10', 'P_7', 'P_2', 'R_10', 'P_4', 'P_9']",2,0.4964
23,Bin 24,1570.2150016770395,"['P_4', 'P_6', 'P_2', 'P_8', 'R_90', 'P_10', 'P_9', 'R_42', 'P_1', 'P_7']",3,0.4301
24,Bin 25,1565.7705980887229,"['P_2', 'P_7', 'R_45', 'P_8', 'P_9', 'P_4', 'P_1', 'P_6']",2,0.4961
25,Bin 26,1565.451898697073,"['P_10', 'P_7', 'P_9', 'P_1', 'R_55', 'P_2', 'P_4', 'P_5']",2,0.4902
26,Bin 27,1563.614220977561,"['P_1', 'P_5', 'P_8', 'P_9', 'P_4', 'P_2', 'R_53', 'P_3']",2,0.4877
27,Bin 28,1561.2103965874187,"['P_7', 'P_2', 'P_6', 'P_4', 'P_8', 'P_9', 'R_15', 'P_10']",2,0.4936
28,Bin 29,1537.582958009421,"['P_10', 'P_4', 'P_7', 'P_1', 'P_8', 'P_2']",1,0.5661
29,Bin 30,1535.6571629584803,"['P_5', 'P_2', 'P_8', 'P_10', 'P_7', 'R_10', 'P_4', 'P_9']",2,0.4962
30,Bin 31,1516.8837975618458,"['P_2', 'P_7', 'P_1', 'P_10', 'P_5', 'R_56', 'P_9', 'P_6']",2,0.4881
31,Bin 32,1513.9757024283685,"['P_2', 'P_10', 'P_4', 'P_7', 'P_6', 'R_20', 'P_3', 'P_1']",2,0.4901
32,Bin 33,1511.1056318250382,"['P_5', 'R_23', 'P_2', 'P_6', 'P_4', 'P_9', 'P_3', 'P_7']",2,0.4899
33,Bin 34,1504.6151341031984,"['P_5', 'P_2', 'P_7', 'P_3', 'P_6', 'P_1', 'R_3', 'P_4']",2,0.4896
34,Bin 35,1496.116894267388,"['P_1', 'P_2', 'P_7', 'P_5', 'P_9', 'P_6', 'P_4']",1,0.6416
35,Bin 36,1495.9081544071564,"['P_5', 'P_9', 'P_4', 'P_1', 'P_7', 'P_10', 'P_6']",1,0.6435
36,Bin 45,1495.4114531346781,"['P_7', 'P_6', 'P_2', 'P_9', 'P_1', 'P_4']",1,0.5654
37,Bin 37,1493.3072557159805,"['P_8', 'P_1', 'P_6', 'R_1', 'P_7', 'P_5', 'P_2', 'P_10']",2,0.4898
38,Bin 38,1492.6946686105941,"['P_5', 'P_2', 'P_7', 'P_6', 'P_3', 'P_4']",1,0.5671
39,Bin 39,1481.678641453318,"['P_5', 'P_2', 'P_7', 'P_6', 'P_3', 'P_10']",1,0.5607
40,Bin 40,1476.719247531001,"['P_4', 'P_1', 'P_10', 'P_9', 'P_7', 'P_2', 'P_6']",1,0.6418
41,Bin 48,851.743355896439,"['P_2', 'P_7', 'P_10', 'P_8', 'P_9', 'P_3', 'R_52', 'P_4']",1,0.7241
42,Bin 43,439.5442250075175,"['P_3', 'P_2', 'P_1', 'R_41', 'R_69', 'P_10']",1,0.6434
43,Bin 41,0.0,"['R_20', 'P_6', 'P_10', 'P_9', 'P_4', 'R_45']",0,0.9071
44,Bin 42,0.0,"['P_8', 'R_1', 'P_2']",2,0.0342
45,Bin 44,0.0,"['P_9', 'P_5']",1,0.0779
46,Bin 46,0.0,"['P_4', 'P_9', 'R_89', 'P_7', 'P_5']",2,0.1819
47,Bin 47,0.0,"['P_1', 'P_8', 'R_59', 'P_4', 'P_2', 'R_61']",0,0.9088
48,Bin 49,0.0,"['P_1', 'P_6', 'P_2']",2,0.019
49,Bin 50,0.0,"['P_2', 'R_29', 'P_8', 'P_4', 'P_1', 'R_1']",3,0.0992
