,precision,recall,f1-score,support
0,0.9233610341643582,1.0,0.9601536245799327,5000.0
1,1.0,0.917,0.9567031820552947,5000.0
accuracy,0.9585,0.9585,0.9585,0.9585
macro avg,0.9616805170821792,0.9585,0.9584284033176137,10000.0
weighted avg,0.9616805170821789,0.9585,0.9584284033176136,10000.0
