,precision,recall,f1-score,support
0,0.49380896226415094,0.67,0.5685675492192804,5000.0
1,0.4869402985074627,0.3132,0.3812074001947419,5000.0
accuracy,0.4916,0.4916,0.4916,0.4916
macro avg,0.4903746303858068,0.49160000000000004,0.4748874747070112,10000.0
weighted avg,0.4903746303858068,0.4916,0.4748874747070112,10000.0
