,precision,recall,f1-score,support
0,0.9366804046459348,1.0,0.967305088024763,5000.0
1,1.0,0.9324,0.9650175947008901,5000.0
accuracy,0.9662,0.9662,0.9662,0.9662
macro avg,0.9683402023229675,0.9662,0.9661613413628265,10000.0
weighted avg,0.9683402023229676,0.9662,0.9661613413628267,10000.0
