,0
,Bin 1
Bin #,"['P_10', 'P_6', 'P_4', 'P_7']"
Top Bin of Features:,4327.982879802486
Log-Rank ScoreNumber of Instances with No Mismatches in Bin:,5338
Number of Instances with Mismatch(es) in Bin:,4662
p-value from Log Rank Test:,0.0
