,precision,recall,f1-score,support
0,0.933184023889511,1.0,0.9654373431164318,5000.0
1,1.0,0.9284,0.9628707736984029,5000.0
accuracy,0.9642,0.9642,0.9642,0.9642
macro avg,0.9665920119447555,0.9642,0.9641540584074173,10000.0
weighted avg,0.9665920119447555,0.9642,0.9641540584074173,10000.0
