,precision,recall,f1-score,support
0,0.933009889904833,1.0,0.9653441451877594,5000.0
1,1.0,0.9282,0.9627631988382949,5000.0
accuracy,0.9641,0.9641,0.9641,0.9641
macro avg,0.9665049449524166,0.9641,0.964053672013027,10000.0
weighted avg,0.9665049449524166,0.9641,0.9640536720130273,10000.0
