feature_list,group_threshold,fitness,pre_fitness,log_rank_score,log_rank_p_value,bin_size,group_strata_prop,count_bt,count_at,low_risk_area,birth_iteration,deletion_prop,cluster,residuals_score,residuals_p_value,HR,HR_CI,HR_p_value,adj_HR,adj_HR_CI,is_merge,adj_HR_p_value,pareto
"['P_10', 'P_2', 'P_3', 'P_6']",1,0.1422740715865136,-0.8297640431964781,340.98978177979365,3.884316853752878e-76,4,0.4707,4707,5293,1.3665062187,49,0.008899442375315062,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2', 'P_3', 'R_73']",1,0.1353352832366127,-0.8420062524591816,339.28323771226354,9.140483133334487e-76,4,0.4939,5061,4939,1.3471407956,50,,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2', 'P_3', 'R_15']",1,0.1224564282529819,-0.9082637539872354,330.0470497223602,9.387282066800613e-74,4,0.4893,5107,4893,1.3400302576,47,0.00983540490028827,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_10', 'P_2', 'P_3', 'P_4']",1,0.11648415777349697,-1.3151177346778886,412.7270535738575,9.34376024687811e-92,5,0.3261,3261,6739,1.5146019703,41,0.011427110204252468,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_3', 'P_6', 'R_71']",1,0.11080315836233387,-1.3327059977518072,298.32698486205146,7.625500670139382e-67,4,0.4876,5124,4876,1.3292533681,49,0.012012990672834145,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_10', 'P_2', 'P_6', 'P_8']",2,0.10539922456186433,-1.3589783016530106,406.612961847135,2.0017279909753593e-90,5,0.3216,6784,3216,1.27743157335,50,,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2', 'P_3', 'R_58']",1,0.10025884372280375,-1.3838144702742885,295.4203261488153,3.277579830093326e-66,4,0.4805,5195,4805,1.3254341046499998,47,0.012628909875385303,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_3', 'P_4', 'R_35']",1,0.09536916221554961,-1.419630735474557,293.38337113564904,9.106779915934252e-66,4,0.4844,5156,4844,1.3275508528,42,0.013276407930730304,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_10', 'P_2', 'P_3', 'P_4', 'P_6']",2,0.09071795328941251,-1.4623687124165832,392.2005066814153,2.7468042084881227e-87,5,0.3275,6725,3275,1.27836838115,45,0.013957103921274189,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_3', 'P_6', 'R_72']",1,0.0862935864993705,-1.6393573719699837,280.8870019237034,4.811761856941713e-63,4,0.4919,5081,4919,1.3251288310500002,49,0.015424985354351812,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2', 'P_3', 'P_4', 'R_41']",1,0.07808166600115317,-1.7643240223110945,350.1084274086345,4.0135438448361084e-78,5,0.3754,3754,6246,1.4358613315499997,49,0.016215841265053543,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2', 'P_4', 'R_62']",1,0.0706512130604296,-1.9274568899184503,264.5021065669562,1.79141469381168e-59,4,0.4942,5058,4942,1.3205296098,49,0.0179212761782682,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_3', 'P_6', 'R_45']",1,0.06081006262521797,-1.985261496915434,261.2146229795907,9.32737990098561e-59,4,0.4828,4828,5172,1.32937879005,46,0.019806073247023895,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_3', 'P_4', 'R_20']",1,0.057844320874838456,-1.9941544610378323,260.7088592504655,1.2022714852814245e-58,4,0.4817,4817,5183,1.33039105485,49,0.020821552337302648,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
"['P_1', 'P_2', 'P_4', 'P_8', 'R_16']",2,0.05502322005640723,-2.033179561679003,315.35296355696676,1.48987290465287e-70,5,0.3062,6938,3062,1.25429463085,50,,,,,,,,,,False,,<src.skfibers.methods.pareto.PARETO object at 0x2ab75e7e0>
