,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
22,Bin 23,0,"['R_228', 'R_185', 'R_198', 'R_346', 'R_32', 'R_1', 'R_285', 'R_101', 'R_55', 'R_91', 'R_236', 'R_331', 'R_366', 'R_249', 'R_109', 'R_136']",0,1.0,0.5
23,Bin 24,0,"['R_389', 'R_383', 'R_325', 'R_8', 'R_226', 'R_162', 'R_271', 'R_62', 'R_196', 'R_175', 'R_6', 'R_32', 'P_8', 'R_136', 'R_296', 'R_180', 'P_7', 'R_208', 'R_211']",0,1.0,0.5
24,Bin 25,0,"['R_387', 'R_222', 'R_313', 'R_341', 'R_317', 'R_256', 'R_82', 'R_172', 'R_206', 'R_230', 'R_372', 'R_173', 'R_137', 'R_180', 'R_240', 'R_303', 'R_118']",0,1.0,0.5
25,Bin 26,0,"['R_212', 'R_240', 'R_270', 'R_110', 'R_344', 'R_350', 'R_124', 'R_160', 'R_72', 'R_161', 'R_368', 'R_170', 'R_263', 'R_99', 'R_375', 'R_312']",0,1.0,0.5
26,Bin 27,0,"['R_176', 'P_10', 'R_334', 'R_294', 'P_8', 'R_267', 'R_362', 'R_13', 'R_107', 'R_197', 'R_63', 'R_156', 'R_257', 'R_62', 'R_361', 'R_335', 'R_194', 'R_247']",0,1.0,0.5
27,Bin 28,0,"['R_220', 'R_155', 'R_198', 'R_111', 'R_204', 'R_192', 'R_221', 'R_386', 'R_31', 'R_66', 'R_299', 'R_302', 'R_63', 'R_190', 'R_37', 'R_334', 'R_182', 'R_130', 'R_358', 'R_385', 'R_211']",0,1.0,0.5
28,Bin 29,0,"['R_37', 'R_345', 'R_309', 'R_127', 'R_340', 'R_190', 'R_32', 'R_106', 'R_304', 'R_303', 'R_215', 'R_226', 'R_390']",0,0.9989,0.5001
29,Bin 30,0,"['R_76', 'R_115', 'R_80', 'R_299', 'R_368', 'R_223', 'R_289', 'R_131', 'R_96', 'R_207', 'R_206', 'R_378', 'R_98', 'R_125', 'R_49', 'R_209', 'R_338', 'R_73', 'R_236', 'R_385', 'R_46', 'R_222']",0,1.0,0.5
30,Bin 31,0,"['R_356', 'R_9', 'R_295', 'R_57', 'R_251', 'R_386', 'R_92', 'R_34', 'R_382', 'R_101', 'R_331', 'R_271', 'R_366', 'R_235', 'R_108', 'R_313', 'R_53', 'R_103', 'R_48']",0,1.0,0.5
31,Bin 32,0,"['R_333', 'R_191', 'R_314', 'R_274', 'R_293', 'R_296', 'R_383', 'R_41', 'R_112', 'R_182', 'R_288', 'R_129', 'R_302', 'R_328', 'R_100', 'R_109', 'R_273', 'R_130', 'R_246', 'R_374', 'R_231', 'R_300', 'R_68', 'R_195', 'R_93']",0,1.0,0.5
32,Bin 33,0,"['R_288', 'R_114', 'R_65', 'R_295', 'R_69', 'R_329', 'R_182', 'R_28', 'R_273', 'R_342', 'R_125', 'R_322', 'R_375', 'R_132', 'R_207', 'R_264', 'R_80']",0,0.9999,0.5001
33,Bin 34,0,"['R_7', 'P_2', 'R_273', 'R_128', 'R_175', 'R_344', 'R_38', 'R_336', 'R_251', 'R_389', 'R_174', 'R_5', 'R_110', 'R_348', 'R_214', 'R_84', 'R_374', 'R_72']",0,1.0,0.5
34,Bin 35,0,"['R_29', 'R_313', 'R_164', 'R_377', 'R_46', 'R_163', 'R_319', 'R_123', 'R_151', 'R_171', 'R_41', 'R_205', 'R_378', 'R_26', 'R_195', 'R_217', 'R_213', 'R_294', 'R_221', 'R_185', 'R_337', 'R_28', 'R_90', 'R_209', 'R_243', 'R_379', 'R_354', 'R_106', 'R_343']",0,1.0,0.5
35,Bin 36,0,"['R_153', 'R_349', 'R_157', 'R_57', 'R_184', 'R_129', 'R_321', 'R_230', 'R_307', 'R_87', 'R_288', 'R_368', 'R_306', 'R_19', 'R_130', 'R_113', 'R_358', 'R_312', 'R_226', 'R_196', 'R_93', 'R_145', 'R_70']",0,1.0,0.5
36,Bin 37,0,"['R_324', 'R_259', 'R_371', 'R_70', 'R_255', 'R_223', 'R_167', 'R_301', 'R_197', 'R_311', 'R_45', 'R_291', 'R_270', 'R_364', 'R_322', 'R_380', 'R_241']",0,1.0,0.5
37,Bin 38,0,"['R_366', 'R_91', 'R_101', 'R_55', 'R_52', 'R_128', 'P_9', 'R_286', 'R_312', 'R_345', 'R_265', 'R_212', 'R_365', 'R_360', 'R_378', 'R_293', 'R_86']",0,0.9999,0.5001
38,Bin 39,0,"['R_25', 'R_350', 'R_122', 'R_108', 'P_6', 'R_13', 'R_88', 'R_75', 'R_171', 'R_67', 'R_295', 'R_331', 'R_188', 'R_5', 'R_363', 'R_73', 'P_3', 'R_35', 'R_16']",0,0.9999,0.5001
39,Bin 40,0,"['R_210', 'R_53', 'R_50', 'R_140', 'R_133', 'R_214', 'R_383', 'R_77', 'R_316', 'R_145', 'R_232', 'R_62', 'R_218', 'R_14', 'R_298', 'R_105', 'R_365', 'R_267', 'R_58', 'R_90', 'R_233']",0,1.0,0.5
40,Bin 41,0,"['R_253', 'R_7', 'R_129', 'R_55', 'R_175', 'R_309', 'R_336', 'R_353', 'R_215', 'R_74', 'R_4', 'R_77', 'R_96', 'R_300']",0,0.9997,0.4999
41,Bin 42,0,"['R_102', 'R_5', 'R_348', 'R_82', 'R_274', 'R_362', 'R_33', 'R_240', 'R_144', 'R_68', 'R_74']",0,0.9981,0.5001
42,Bin 43,0,"['R_49', 'R_351', 'R_107', 'R_305', 'R_121', 'R_203', 'R_274', 'R_144', 'R_68', 'R_210', 'R_324', 'R_50', 'R_140', 'R_316', 'R_145', 'R_66', 'R_62', 'R_124', 'R_105', 'R_382', 'R_365', 'R_267', 'R_90', 'R_233']",0,1.0,0.5
43,Bin 44,0,"['R_325', 'R_192', 'R_330', 'R_53', 'R_133', 'R_270', 'R_214', 'R_383', 'R_232', 'R_218', 'R_14', 'R_298', 'R_285', 'R_58']",0,0.9999,0.4999
44,Bin 45,0,"['R_252', 'R_98', 'R_345', 'R_247', 'R_62', 'R_313', 'R_341', 'R_317', 'R_2', 'R_82', 'R_42', 'R_173', 'R_137', 'R_240', 'R_220', 'R_155', 'R_106', 'R_198', 'R_279', 'R_221', 'R_66', 'R_299', 'R_302', 'R_182', 'R_53', 'R_130', 'R_265', 'R_211']",0,1.0,0.5
45,Bin 46,0,"['R_281', 'R_291', 'R_3', 'R_387', 'R_256', 'R_372', 'R_328', 'R_303', 'R_118', 'R_111', 'R_204', 'R_192', 'R_31', 'R_190', 'R_334', 'R_385']",0,1.0,0.5
46,Bin 47,0,"['P_9', 'R_40', 'R_293', 'R_86', 'R_125', 'R_271', 'R_298', 'R_184', 'R_149', 'R_43', 'R_211', 'R_42', 'R_247', 'R_239', 'R_118', 'R_339', 'R_332', 'R_137']",0,0.9999,0.4999
47,Bin 48,0,"['R_366', 'R_91', 'R_52', 'R_286', 'R_312', 'R_77', 'R_265', 'R_212', 'R_365', 'R_252', 'R_240', 'R_72', 'R_233', 'R_98', 'R_3', 'R_153', 'R_242', 'R_316']",0,1.0,0.5
48,Bin 49,0,"['R_25', 'R_133', 'R_299', 'R_336', 'R_338', 'R_57', 'R_13', 'R_10', 'R_241', 'R_279', 'R_130', 'R_85', 'R_204', 'R_325', 'R_389', 'R_368', 'R_51', 'R_74']",0,1.0,0.5
49,Bin 50,0,"['R_327', 'R_76', 'R_368', 'R_91', 'R_177', 'R_223', 'R_33', 'R_207', 'P_10', 'R_77', 'R_289', 'R_255', 'R_80', 'R_247', 'R_315', 'R_254', 'R_221', 'R_245', 'R_358', 'R_197', 'R_95', 'R_176', 'R_227', 'R_219', 'R_218', 'R_293', 'R_256', 'R_122', 'R_114', 'R_184', 'R_12', 'R_267', 'R_153']",0,1.0,0.5
