,0
Bin #,Bin 1
Top Bin of Features:,"['P_5', 'P_4', 'P_1']"
Log-Rank Score,1231.6179929956288
Number of Instances with No Mismatches in Bin:,4410
Number of Instances with Mismatch(es) in Bin:,5590
p-value from Log Rank Test:,8.201646663403752e-270
Threshold,0
