,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,0,"['R_165', 'R_684', 'R_158', 'R_396', 'R_121', 'R_285', 'R_471', 'R_350', 'R_417', 'R_237', 'R_186', 'R_486', 'R_99', 'R_668', 'R_553', 'R_607', 'R_647', 'R_616', 'R_563', 'R_342', 'R_29', 'R_514', 'R_304', 'R_363']",0,1.0
1,Bin 2,0,"['R_309', 'R_358', 'R_68', 'R_27', 'R_193', 'R_219', 'R_462', 'R_689', 'R_350', 'R_243', 'R_496', 'R_646', 'R_492', 'R_125', 'R_275', 'R_82', 'R_228', 'R_289', 'R_112', 'R_537', 'R_520', 'R_574', 'R_480', 'R_495', 'R_236', 'R_488', 'R_261', 'R_17', 'R_514', 'R_630', 'R_200']",0,1.0
2,Bin 3,0,"['R_116', 'R_448', 'R_357', 'R_183', 'R_113', 'R_673', 'R_165', 'R_376', 'R_462', 'R_474', 'R_443', 'R_179', 'R_529', 'R_551', 'R_272', 'R_199', 'R_96', 'R_368', 'R_446', 'R_353', 'R_668', 'R_427', 'R_158', 'R_472', 'R_232', 'R_521', 'R_671', 'R_166', 'R_177', 'R_577', 'R_150', 'R_425']",0,1.0
3,Bin 4,0,"['P_10', 'R_553', 'R_500', 'R_270', 'R_244', 'R_514', 'R_157', 'R_372', 'R_359', 'R_679', 'R_625', 'R_676', 'R_178', 'R_487', 'R_293', 'R_160', 'R_263', 'R_230', 'R_418', 'R_565', 'R_405', 'R_452', 'R_199', 'R_53', 'R_284', 'R_256', 'R_478', 'R_538', 'R_491', 'R_436', 'R_274', 'R_539', 'R_451', 'R_403', 'R_219']",0,1.0
4,Bin 5,0,"['R_380', 'R_204', 'R_620', 'R_266', 'R_500', 'R_224', 'R_73', 'R_595', 'R_188', 'R_365', 'R_662', 'R_503', 'R_92', 'R_573', 'R_143', 'R_643', 'R_368', 'R_549', 'R_255', 'R_265', 'R_90', 'R_191', 'R_469', 'R_394', 'R_646', 'R_259', 'R_456', 'R_130', 'R_79', 'R_669', 'R_182']",0,1.0
5,Bin 6,0,"['R_544', 'R_128', 'R_380', 'R_557', 'R_370', 'R_479', 'R_189', 'R_214', 'R_444', 'R_159', 'R_104', 'R_284', 'R_142', 'P_9', 'R_280', 'R_555', 'R_350', 'R_558', 'R_522', 'R_528', 'R_62', 'R_514', 'R_515', 'R_46', 'R_591', 'R_312', 'R_296', 'R_402', 'R_582', 'R_317', 'R_94', 'R_442', 'R_527', 'R_677', 'R_620', 'R_321', 'R_683', 'R_154', 'R_309']",0,1.0
6,Bin 7,0,"['R_323', 'R_11', 'R_345', 'R_597', 'R_77', 'R_20', 'R_477', 'R_330', 'R_534', 'R_513', 'R_16', 'R_551', 'R_673', 'R_28', 'R_215', 'R_361', 'R_410', 'R_360', 'R_447', 'R_609', 'R_331', 'R_613', 'R_315', 'R_300', 'R_324', 'R_450', 'R_371', 'R_572', 'R_501', 'R_625', 'R_454', 'R_277', 'R_314', 'R_182', 'R_548', 'R_460', 'R_278', 'R_420', 'R_19', 'R_681']",0,1.0
7,Bin 8,0,"['R_684', 'R_571', 'R_81', 'R_219', 'R_639', 'R_577', 'R_28', 'R_531', 'R_522', 'R_65', 'R_226', 'R_302', 'R_290', 'R_233', 'R_516', 'R_83', 'R_6', 'R_478', 'R_511', 'R_8', 'R_45', 'R_653', 'P_8', 'R_192', 'R_375', 'R_61', 'R_560', 'R_363', 'R_399', 'R_547', 'R_336', 'R_499', 'R_241', 'R_9', 'R_491', 'P_4', 'R_610', 'R_331', 'R_383', 'R_111', 'R_529', 'R_631', 'R_87', 'R_237', 'R_365', 'R_94']",0,1.0
8,Bin 9,0,"['R_184', 'R_128', 'R_625', 'R_4', 'R_558', 'R_684', 'R_23', 'R_254', 'R_264', 'R_25', 'R_374', 'R_445', 'R_231', 'R_27', 'R_145', 'R_461', 'R_282', 'R_609', 'R_20', 'R_43', 'R_334', 'R_59', 'R_414', 'R_671', 'R_136', 'R_108', 'R_427', 'R_661', 'R_368', 'R_329', 'R_341', 'R_463', 'R_197']",0,1.0
9,Bin 10,0,"['R_89', 'R_301', 'R_651', 'R_595', 'R_620', 'R_390', 'R_290', 'R_362', 'R_650', 'R_397', 'R_534', 'R_173', 'R_597', 'R_341', 'R_614', 'R_631', 'R_122', 'R_50', 'R_542', 'R_568', 'R_3', 'R_253', 'R_389', 'R_79', 'R_572', 'R_212', 'R_313', 'R_658', 'R_374', 'R_208', 'R_72', 'R_450', 'R_462', 'R_402', 'R_591', 'R_42']",0,1.0
10,Bin 11,0,"['R_123', 'R_619', 'R_220', 'R_35', 'R_454', 'R_468', 'R_569', 'R_388', 'R_676', 'R_430', 'R_463', 'P_10', 'R_377', 'R_191', 'R_444', 'R_493', 'R_645', 'R_368', 'R_342', 'R_127', 'R_43', 'R_535', 'R_471', 'R_316', 'R_669', 'R_168', 'R_64', 'R_95', 'R_7', 'R_479', 'R_260', 'R_37', 'R_101', 'R_129', 'R_654', 'R_461', 'R_529', 'R_527', 'R_626', 'R_532']",0,1.0
11,Bin 12,0,"['R_310', 'R_406', 'R_77', 'R_169', 'R_447', 'R_355', 'R_205', 'R_128', 'R_413', 'R_224', 'R_40', 'R_540', 'R_435', 'R_144', 'R_484', 'R_681', 'R_207', 'R_361', 'R_688', 'P_9', 'R_509', 'R_318', 'R_175', 'R_81', 'R_489', 'R_300', 'R_365', 'R_230', 'R_155', 'R_286', 'R_656', 'R_513', 'R_394', 'R_159', 'R_27', 'R_585']",0,1.0
