,precision,recall,f1-score,support
0,0.9338812103100486,1.0,0.9658103148541627,5000.0
1,1.0,0.9292,0.9633008500933029,5000.0
accuracy,0.9646,0.9646,0.9646,0.9646
macro avg,0.9669406051550242,0.9646,0.9645555824737329,10000.0
weighted avg,0.9669406051550242,0.9646,0.9645555824737326,10000.0
