,precision,recall,f1-score,support
0,0.9746588693957114,1.0,0.9871668311944718,5000.0
1,1.0,0.974,0.9868287740628165,5000.0
accuracy,0.987,0.987,0.987,0.987
macro avg,0.9873294346978557,0.987,0.9869978026286441,10000.0
weighted avg,0.9873294346978557,0.987,0.986997802628644,10000.0
