,0
Bin #,Bin 1
Top Bin of Features:,"['P_5', 'P_10', 'P_1', 'P_4']"
Log-Rank Score,751.9972780675091
Number of Instances with No Mismatches in Bin:,3608
Number of Instances with Mismatch(es) in Bin:,6392
p-value from Log Rank Test:,1.4761217445473223e-165
Threshold,0
