,0
Bin #,Bin 1
Top Bin of Features:,"['P_4', 'P_5', 'P_2']"
Log-Rank Score,126.85615826717364
Number of Instances with No Mismatches in Bin:,4435
Number of Instances with Mismatch(es) in Bin:,5565
p-value from Log Rank Test:,1.9973813121917732e-29
Threshold,0
