,0
Bin #,Bin 1
Top Bin of Features:,"['P_4', 'P_10', 'P_1', 'P_6', 'P_7', 'P_3', 'P_5', 'P_8', 'P_2']"
Log-Rank Score,512.9357170638154
Number of Instances with No Mismatches in Bin:,5000
Number of Instances with Mismatch(es) in Bin:,5000
p-value from Log Rank Test:,1.4571029867976836e-113
Threshold,2
