,0
Bin #,Bin 1
Top Bin of Features:,"['P_8', 'P_1', 'P_6', 'P_7', 'P_3', 'P_9', 'P_10', 'P_5', 'P_4', 'R_64', 'P_2']"
Log-Rank Score,274.5492224350978
Number of Instances with No Mismatches in Bin:,5000
Number of Instances with Mismatch(es) in Bin:,5000
p-value from Log Rank Test:,1.15732704320492e-61
Threshold,3
