,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,512.9357170638154,"['P_4', 'P_10', 'P_1', 'P_6', 'P_7', 'P_3', 'P_5', 'P_8', 'P_2']",2,0.5,1.0
1,Bin 2,440.28055508581485,"['P_3', 'P_1', 'P_5', 'P_7', 'P_2', 'P_6', 'P_4', 'P_10']",2,0.4351,0.9351
2,Bin 3,427.2040445475094,"['P_4', 'P_1', 'P_10', 'P_5', 'P_3', 'P_2', 'P_8', 'P_6']",2,0.4329,0.9329
3,Bin 4,427.11414235975775,"['P_5', 'P_7', 'P_2', 'P_10', 'P_6', 'P_4', 'P_9', 'P_1']",2,0.435,0.935
4,Bin 5,416.5381552140341,"['P_6', 'R_61', 'P_10', 'P_3', 'P_4', 'P_1', 'P_2', 'P_8', 'P_9', 'P_5']",2,0.5564,0.9436
5,Bin 6,416.4289725183626,"['P_7', 'P_4', 'P_3', 'P_10', 'P_9', 'P_1', 'P_2', 'P_6']",2,0.4356,0.9356
6,Bin 7,415.0930983604515,"['P_3', 'P_5', 'P_7', 'P_2', 'P_4', 'P_10', 'P_9', 'P_6']",2,0.4296,0.9296
7,Bin 8,396.7335770185422,"['P_1', 'P_4', 'P_10', 'R_41', 'P_7', 'P_3', 'P_9', 'P_6', 'P_5']",2,0.5061,0.9161
8,Bin 9,394.0682905139288,"['P_4', 'P_1', 'P_5', 'P_3', 'P_8', 'P_10', 'P_6', 'P_7', 'R_25', 'P_2']",2,0.5605,0.9395
9,Bin 10,389.5502905644061,"['R_14', 'P_5', 'P_7', 'P_2', 'P_10', 'P_6', 'P_4', 'P_9', 'P_1']",2,0.5104,0.9188
10,Bin 11,381.23292123174554,"['P_1', 'P_3', 'P_5', 'P_4', 'P_2', 'P_10', 'P_6', 'R_10', 'P_7']",2,0.511,0.9166
11,Bin 12,380.5226128421885,"['P_3', 'P_10', 'P_7', 'P_5', 'R_40', 'P_2', 'P_4', 'P_6', 'P_1']",2,0.5102,0.919
12,Bin 13,377.43737519027934,"['P_7', 'P_10', 'P_4', 'P_9', 'P_1', 'P_3', 'R_88', 'P_2', 'P_6', 'P_5']",2,0.5577,0.9423
13,Bin 14,377.0072738419142,"['P_10', 'P_3', 'P_1', 'P_2', 'P_8', 'P_9', 'P_6', 'P_5']",2,0.4325,0.9325
14,Bin 15,376.6930186518526,"['P_3', 'P_1', 'R_69', 'P_8', 'P_5', 'P_6', 'P_7', 'P_2', 'P_10', 'P_9']",2,0.5558,0.9442
15,Bin 16,376.69154486995626,"['P_6', 'P_10', 'P_3', 'P_2', 'P_5', 'P_4', 'R_61', 'P_1']",2,0.4322,0.8684
16,Bin 17,376.29424494264026,"['P_6', 'P_10', 'P_3', 'R_22', 'P_4', 'P_7', 'P_1', 'P_2', 'P_8']",2,0.5111,0.9161
