,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,274.5492224350978,"['P_8', 'P_1', 'P_6', 'P_7', 'P_3', 'P_9', 'P_10', 'P_5', 'P_4', 'R_64', 'P_2']",3,0.5,1.0
1,Bin 2,274.5492224350978,"['P_4', 'P_1', 'P_7', 'P_9', 'P_2', 'P_8', 'P_6', 'P_10', 'P_5']",2,0.5,1.0
2,Bin 3,239.02787507049413,"['P_7', 'P_2', 'P_10', 'P_6', 'P_4', 'P_3', 'P_1', 'P_5']",2,0.4351,0.9351
3,Bin 4,233.28317418664466,"['P_4', 'P_1', 'P_7', 'P_5', 'P_6', 'P_8', 'P_10', 'P_2']",2,0.4317,0.9317
4,Bin 5,223.754912275856,"['P_4', 'P_6', 'P_7', 'P_10', 'P_9', 'P_5', 'P_1', 'P_3']",2,0.4312,0.9312
5,Bin 6,222.96588454672573,"['P_2', 'P_4', 'P_8', 'P_1', 'P_10', 'P_7', 'P_3', 'P_9']",2,0.438,0.938
6,Bin 7,214.08823436675357,"['R_49', 'P_8', 'P_1', 'P_6', 'P_7', 'P_3', 'P_9', 'P_10', 'P_5', 'P_4']",2,0.5577,0.9423
7,Bin 8,211.67897880956855,"['P_3', 'P_10', 'P_5', 'P_6', 'R_41', 'P_2', 'P_9', 'P_7', 'P_4']",2,0.5047,0.9159
8,Bin 9,210.72739750625456,"['P_4', 'P_8', 'P_7', 'P_3', 'P_9', 'R_28', 'P_5', 'P_2', 'P_1']",2,0.5081,0.9181
9,Bin 10,207.34415288899024,"['P_2', 'P_4', 'P_6', 'P_7', 'P_3', 'P_5', 'P_10']",1,0.5618,0.9068
10,Bin 11,207.34397663874887,"['P_4', 'P_6', 'P_3', 'R_61', 'P_10', 'P_2', 'P_5', 'P_1']",2,0.4322,0.8684
11,Bin 12,206.7204184017335,"['P_10', 'P_3', 'P_5', 'P_2', 'P_4', 'P_8']",1,0.4954,0.8836
12,Bin 13,204.04541479826935,"['P_3', 'P_5', 'R_3', 'P_6', 'P_2', 'P_9', 'P_7', 'P_4', 'P_10', 'P_1']",2,0.5595,0.9405
13,Bin 14,202.8641979510168,"['P_4', 'P_7', 'P_3', 'P_5', 'P_2', 'P_10', 'P_9', 'P_1']",2,0.4314,0.9314
14,Bin 15,202.45247107243586,"['P_7', 'P_10', 'P_2', 'P_5', 'P_4', 'P_8']",1,0.4957,0.8823
15,Bin 16,201.19963799040318,"['R_59', 'P_1', 'P_6', 'P_3', 'P_10', 'P_5', 'P_4', 'P_9', 'P_2']",2,0.506,0.917
16,Bin 17,200.84359111450286,"['P_1', 'P_5', 'P_8', 'P_10', 'P_2', 'P_9', 'P_3', 'P_4', 'R_64', 'P_6']",2,0.5575,0.9425
17,Bin 18,199.36564115145748,"['R_37', 'P_5', 'P_6', 'P_2', 'P_9', 'P_7', 'P_4', 'P_10', 'P_1', 'P_3']",2,0.5583,0.9417
18,Bin 19,198.96849424780032,"['P_2', 'P_7', 'P_4', 'P_10', 'P_1', 'P_6']",1,0.4948,0.8876
19,Bin 20,198.9032994338944,"['P_3', 'P_2', 'P_9', 'R_22', 'P_4', 'P_5', 'P_1', 'P_10']",2,0.4336,0.8626
20,Bin 21,198.64331269183384,"['P_6', 'P_3', 'P_2', 'R_7', 'P_5', 'P_4', 'P_10', 'P_1', 'P_7', 'R_38', 'P_9']",3,0.4616,0.9156
21,Bin 22,198.11226633602956,"['P_7', 'P_3', 'P_2', 'P_4', 'P_8', 'P_6', 'P_10', 'P_5', 'R_47', 'P_9']",2,0.5586,0.9414
22,Bin 23,197.23294587758608,"['P_2', 'P_7', 'P_4', 'P_10', 'P_5', 'P_3']",1,0.4951,0.8825
23,Bin 24,196.33567161070297,"['P_3', 'P_2', 'P_9', 'P_4', 'P_8', 'P_10', 'P_5']",1,0.5604,0.903
24,Bin 25,196.20439243893745,"['P_2', 'P_5', 'P_4', 'P_6', 'P_10', 'P_7']",1,0.4974,0.884
25,Bin 26,196.1476197243111,"['P_2', 'P_7', 'P_4', 'P_1', 'P_8', 'P_10']",1,0.4986,0.8898
26,Bin 27,195.97427761087727,"['P_2', 'P_5', 'P_10', 'P_4', 'P_8', 'P_1']",1,0.4969,0.8887
27,Bin 28,195.16737317836552,"['P_4', 'P_8', 'P_7', 'P_2', 'P_10', 'P_6']",1,0.4948,0.8846
28,Bin 29,195.05484743341134,"['P_4', 'P_10', 'P_7', 'R_37', 'P_5', 'P_3', 'P_8', 'P_2']",2,0.4303,0.8619
29,Bin 30,194.66942030841625,"['P_10', 'P_9', 'P_5', 'P_1', 'P_2', 'P_3', 'P_4', 'R_64', 'P_6']",2,0.505,0.918
30,Bin 31,194.3684049409816,"['P_2', 'P_4', 'P_8', 'P_1', 'P_6', 'P_10', 'P_7']",1,0.5581,0.9053
31,Bin 32,193.40817362534247,"['P_8', 'P_6', 'P_7', 'P_3', 'P_2', 'P_4', 'R_8', 'P_10', 'P_9']",2,0.5094,0.9208
32,Bin 33,193.13374084650263,"['P_4', 'P_10', 'P_9', 'P_5', 'P_1', 'P_2', 'R_89', 'P_3', 'P_6']",2,0.5078,0.916
33,Bin 34,192.22793800445626,"['P_4', 'P_7', 'P_3', 'P_2', 'P_10', 'P_6']",1,0.4934,0.888
34,Bin 35,191.62305987619033,"['P_6', 'P_3', 'P_9', 'P_10', 'P_5', 'P_4', 'R_2', 'P_7']",2,0.4294,0.8594
35,Bin 36,191.49112439036801,"['R_15', 'P_2', 'P_4', 'P_1', 'P_8', 'P_7', 'P_3', 'P_10', 'P_5']",2,0.5077,0.9139
36,Bin 37,191.2746009570705,"['P_4', 'P_1', 'P_10', 'P_2', 'P_7', 'P_5', 'P_3']",1,0.5588,0.9048
37,Bin 38,191.1319829738886,"['P_4', 'P_7', 'P_5', 'P_10', 'P_1', 'P_2', 'P_6']",1,0.5618,0.9064
38,Bin 39,190.47508668862326,"['P_4', 'P_7', 'P_10', 'P_9', 'P_5', 'P_1', 'P_2']",1,0.5622,0.9072
39,Bin 40,190.16813318732878,"['P_2', 'P_4', 'P_6', 'P_10', 'P_7']",1,0.4051,0.8335
40,Bin 50,112.3538076983322,"['P_3', 'R_28', 'P_10', 'P_2', 'P_9', 'P_1']",1,0.5314,0.811
41,Bin 48,105.5653717156909,"['P_10', 'R_41', 'P_2', 'P_7', 'P_4', 'R_59', 'R_35', 'P_1', 'P_9']",3,0.3275,0.7523
42,Bin 49,73.49953912683208,"['P_7', 'P_10']",0,0.4324,0.7382
43,Bin 47,70.81495651439076,"['P_5', 'P_6', 'P_9']",0,0.5538,0.7744
44,Bin 41,69.08757593417037,"['P_7', 'R_36', 'P_3', 'R_89', 'P_5', 'P_10', 'P_9']",2,0.3724,0.7518
45,Bin 42,66.82586023380975,"['P_10', 'P_4', 'R_52', 'P_6']",1,0.3439,0.7095
46,Bin 45,65.93392709426992,"['P_4', 'P_8', 'R_31', 'P_1']",1,0.3518,0.7098
47,Bin 46,62.990851769572494,"['P_2', 'P_10', 'R_24', 'P_9', 'R_50', 'P_8']",2,0.297,0.7026
48,Bin 44,42.72929278528139,"['P_10', 'R_77', 'P_8']",1,0.2273,0.6357
