,0
Bin #,Bin 1
Top Bin of Features:,"['P_8', 'P_3', 'P_2', 'P_4', 'P_6', 'P_10', 'P_5', 'P_9', 'P_1', 'R_64', 'P_7']"
Log-Rank Score,1295.8155942159888
Number of Instances with No Mismatches in Bin:,5000
Number of Instances with Mismatch(es) in Bin:,5000
p-value from Log Rank Test:,9.173876452602951e-284
Threshold,3
