,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,859.1211231544767,"['P_2', 'P_8', 'P_5', 'P_1', 'P_4', 'P_7', 'P_3', 'P_6', 'P_10']",2,0.5,1.0
1,Bin 2,718.2073838411378,"['P_9', 'P_2', 'P_10', 'P_7', 'P_8', 'P_5', 'P_4', 'P_1']",2,0.4371,0.9371
2,Bin 3,716.2724305959654,"['P_5', 'P_3', 'P_2', 'P_8', 'P_10', 'P_4', 'P_1', 'P_7']",2,0.4326,0.9326
3,Bin 4,713.1378275644187,"['P_9', 'P_2', 'P_7', 'P_8', 'P_5', 'P_1', 'P_3', 'R_30', 'P_4', 'R_31', 'P_6', 'P_10']",3,0.5315,0.9685
4,Bin 5,711.2335688390131,"['P_3', 'P_1', 'P_2', 'P_10', 'P_8', 'P_7', 'P_5', 'P_9']",2,0.4304,0.9304
5,Bin 6,707.4261703118796,"['P_5', 'P_3', 'P_6', 'P_4', 'P_1', 'P_10', 'P_2', 'P_9']",2,0.4322,0.9322
6,Bin 7,706.0638133119131,"['P_2', 'P_9', 'P_3', 'P_8', 'P_10', 'P_5', 'P_4', 'P_1']",2,0.4352,0.9352
7,Bin 8,703.4794557503911,"['P_3', 'P_1', 'P_2', 'P_8', 'P_7', 'P_5', 'P_6', 'P_4']",2,0.4331,0.9331
8,Bin 9,699.0139007577324,"['P_4', 'P_2', 'P_6', 'P_10', 'P_1', 'P_9', 'P_3', 'P_7']",2,0.4356,0.9356
9,Bin 10,690.167174763145,"['P_4', 'P_7', 'P_2', 'P_9', 'P_6', 'P_8', 'P_3', 'P_10']",2,0.4359,0.9359
10,Bin 11,688.1966584810664,"['P_9', 'R_4', 'P_7', 'P_1', 'P_5', 'P_6', 'P_3', 'P_2', 'P_4', 'P_10']",2,0.5557,0.9443
11,Bin 12,686.2773461154825,"['P_2', 'P_9', 'R_18', 'P_3', 'P_8', 'P_10', 'P_1', 'P_5', 'P_6', 'P_7', 'R_59', 'P_4']",3,0.5339,0.9661
12,Bin 13,676.9392717841372,"['P_10', 'P_8', 'P_4', 'P_7', 'P_3', 'P_2', 'P_1', 'P_6']",2,0.4334,0.9334
13,Bin 14,668.7880131284645,"['P_5', 'P_7', 'P_3', 'P_6', 'P_4', 'P_9', 'P_1', 'P_10']",2,0.4312,0.9312
14,Bin 15,663.6296389588531,"['P_7', 'P_5', 'P_9', 'P_4', 'P_3', 'P_2', 'P_10', 'P_1']",2,0.4314,0.9314
15,Bin 16,660.7614024890153,"['P_9', 'P_10', 'R_56', 'P_7', 'P_4', 'P_1', 'P_5', 'P_2', 'P_3', 'P_8']",2,0.5605,0.9395
16,Bin 17,656.9927023630174,"['P_5', 'R_40', 'P_4', 'P_1', 'P_7', 'P_3', 'P_2', 'P_9', 'P_6', 'P_10']",2,0.558,0.942
17,Bin 18,650.1182290534663,"['P_2', 'P_1', 'P_5', 'P_6', 'R_17', 'P_3', 'P_4', 'P_7', 'P_10']",2,0.5106,0.9202
18,Bin 19,648.2081881054986,"['P_5', 'P_3', 'R_77', 'P_10', 'P_4', 'P_1', 'P_7', 'R_34', 'P_8', 'P_2', 'P_6']",3,0.4631,0.9135
19,Bin 20,643.8545060209829,"['P_5', 'P_4', 'P_7', 'P_3', 'R_10', 'P_2', 'P_9', 'P_6', 'P_8']",2,0.5159,0.9169
20,Bin 21,639.4952957997991,"['P_5', 'P_7', 'P_3', 'P_2', 'R_85', 'P_9', 'P_8', 'P_10', 'P_1', 'P_4']",2,0.558,0.942
21,Bin 22,635.688997624617,"['P_4', 'R_38', 'P_8', 'P_3', 'P_1', 'P_9', 'R_23', 'P_5', 'P_7', 'P_2', 'P_10']",3,0.466,0.9132
22,Bin 23,632.9235607656376,"['P_10', 'P_1', 'P_8', 'P_3', 'P_4', 'R_57', 'P_2', 'P_7', 'P_6', 'P_5']",2,0.5588,0.9412
23,Bin 24,623.8392504955236,"['P_10', 'P_1', 'P_8', 'R_6', 'P_9', 'P_3', 'P_4', 'P_7', 'P_2']",2,0.5109,0.9217
24,Bin 25,622.2098858019405,"['R_12', 'P_5', 'P_3', 'P_1', 'P_10', 'P_9', 'P_7', 'P_2', 'P_6', 'R_59', 'P_4']",3,0.4646,0.9128
25,Bin 26,620.1645223833401,"['P_4', 'P_3', 'P_9', 'P_7', 'P_1', 'R_49', 'P_2', 'P_6', 'P_10']",2,0.5107,0.9211
26,Bin 27,615.2474837786202,"['R_57', 'P_9', 'P_2', 'P_10', 'P_1', 'P_7', 'P_4', 'P_3', 'P_8']",2,0.5124,0.9222
27,Bin 28,614.3551795086552,"['P_7', 'P_8', 'P_1', 'P_3', 'R_30', 'P_4', 'P_6', 'P_10', 'P_9', 'P_2']",2,0.5567,0.9433
28,Bin 29,613.0410420443535,"['P_2', 'P_8', 'P_1', 'P_3', 'R_30', 'P_6', 'P_10', 'P_4', 'P_7', 'R_52', 'P_5']",3,0.4601,0.9121
29,Bin 30,612.3929478454376,"['P_10', 'P_4', 'P_7', 'P_6', 'P_5', 'P_8', 'P_1', 'R_42', 'P_2']",2,0.5089,0.9173
30,Bin 31,610.1995151047506,"['P_8', 'P_5', 'P_6', 'P_10', 'P_9', 'P_2', 'P_1', 'P_3', 'R_67', 'P_4']",2,0.5606,0.9394
31,Bin 32,608.3019253697397,"['P_4', 'P_7', 'P_1', 'P_2', 'P_9', 'R_3', 'P_3', 'P_6', 'R_17', 'P_5', 'P_10']",3,0.4584,0.9086
32,Bin 33,608.1705218162092,"['P_10', 'P_4', 'R_1', 'P_7', 'P_6', 'P_5', 'P_1', 'P_8', 'P_3']",2,0.5073,0.9179
33,Bin 34,607.328239950229,"['P_10', 'P_1', 'R_10', 'P_8', 'P_9', 'P_3', 'P_7', 'P_2', 'P_4']",2,0.5125,0.9187
34,Bin 35,607.3108265549812,"['P_7', 'P_1', 'P_2', 'P_9', 'R_42', 'P_4', 'P_6', 'P_5', 'P_10']",2,0.5103,0.9201
35,Bin 36,603.1853219134633,"['P_1', 'P_3', 'P_7', 'P_5', 'P_9', 'R_6', 'P_10', 'P_4', 'P_6', 'R_42', 'P_2']",3,0.4661,0.9169
36,Bin 37,600.2719362737396,"['P_8', 'R_88', 'P_7', 'P_3', 'P_2', 'P_6', 'P_1', 'P_9', 'P_4']",2,0.5083,0.9199
37,Bin 38,600.0849153729101,"['P_9', 'P_2', 'P_8', 'P_5', 'P_1', 'R_36', 'P_3', 'R_30', 'P_4', 'P_10', 'P_7']",3,0.4591,0.9095
38,Bin 39,598.6746217829123,"['P_9', 'P_7', 'P_5', 'R_85', 'P_4', 'P_1', 'P_3', 'P_6', 'R_33', 'P_10', 'P_2']",3,0.4614,0.9102
39,Bin 40,598.5938486674936,"['P_7', 'P_1', 'R_49', 'P_2', 'P_9', 'P_3', 'P_4', 'P_8', 'P_10']",2,0.5125,0.9223
40,Bin 48,374.4661214451328,"['P_7', 'P_5', 'P_4', 'P_10', 'R_56', 'P_2']",1,0.5406,0.809
41,Bin 47,368.9183924762548,"['P_2', 'P_8', 'P_6', 'R_70', 'P_9', 'P_7', 'P_1']",2,0.3494,0.8
42,Bin 49,292.26692735605263,"['P_2', 'P_4', 'P_3']",0,0.5554,0.7774
43,Bin 50,281.2646595494072,"['P_3', 'R_68', 'P_1', 'P_5', 'P_6', 'P_7']",1,0.5368,0.7984
44,Bin 45,267.97053814498076,"['P_3', 'P_6', 'R_33', 'P_4', 'P_9']",1,0.449,0.7668
45,Bin 41,265.7636647300875,"['P_7', 'P_3', 'P_6', 'P_9', 'R_53', 'P_1']",1,0.5348,0.8088
46,Bin 42,201.41338657941466,"['P_5', 'P_8', 'R_6', 'P_2']",1,0.3452,0.7068
47,Bin 44,186.9127865850839,"['P_9', 'R_31', 'P_1', 'P_2']",1,0.3461,0.7179
48,Bin 46,172.7330294812593,"['P_5', 'R_9', 'P_2', 'R_24', 'R_12', 'P_10', 'P_7', 'P_6', 'R_10', 'R_59']",3,0.4793,0.7215
49,Bin 43,65.03708771811252,"['R_21', 'P_4', 'P_9', 'R_90', 'P_5', 'R_88', 'R_66', 'R_42']",3,0.3413,0.6303
