,0
Bin #,Bin 1
Top Bin of Features:,"['P_7', 'R_60', 'R_2']"
Log-Rank Score,18.21618022955166
Number of Instances with No Mismatches in Bin:,2347
Number of Instances with Mismatch(es) in Bin:,7653
p-value from Log Rank Test:,1.971964421036988e-05
Threshold,0
