,0
Bin #,Bin 1
Top Bin of Features:,"['P_5', 'P_1', 'P_4', 'P_10']"
Log-Rank Score,954.0283113127447
Number of Instances with No Mismatches in Bin:,3608
Number of Instances with Mismatch(es) in Bin:,6392
p-value from Log Rank Test:,1.7664030411044646e-209
Threshold,0
