,0
Bin #,Bin 1
Top Bin of Features:,"['P_5', 'P_10', 'P_4', 'P_1']"
Log-Rank Score,439.5990424117779
Number of Instances with No Mismatches in Bin:,3608
Number of Instances with Mismatch(es) in Bin:,6392
p-value from Log Rank Test:,1.3234579011917037e-97
Threshold,0
