,precision,recall,f1-score,support
0,0.9354536950420954,1.0,0.9666505558240697,5000.0
1,1.0,0.931,0.9642672190574832,5000.0
accuracy,0.9655,0.9655,0.9655,0.9655
macro avg,0.9677268475210477,0.9655,0.9654588874407765,10000.0
weighted avg,0.9677268475210477,0.9655,0.9654588874407763,10000.0
