,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,126.85615826717364,"['P_4', 'P_5', 'P_2']",0,0.5565,0.7801
1,Bin 2,125.15626128469927,"['P_4', 'P_2', 'P_1', 'P_5']",0,0.6433,0.7907
2,Bin 3,123.83788162389928,"['P_5', 'P_4', 'P_3', 'P_2']",0,0.6405,0.7899
3,Bin 4,121.25327169442897,"['P_4', 'P_2', 'P_1']",0,0.5597,0.7811
4,Bin 5,118.29081749967186,"['P_4', 'P_8', 'P_2']",0,0.5627,0.7749
5,Bin 6,117.59727613679203,"['P_1', 'P_4', 'P_5', 'P_6']",0,0.6436,0.7914
6,Bin 7,117.5814713073471,"['P_5', 'P_6', 'P_4', 'P_2']",0,0.6415,0.7867
7,Bin 8,117.06829825217035,"['P_4', 'P_5', 'P_8', 'P_2']",0,0.6465,0.7843
8,Bin 9,116.58647917623549,"['P_7', 'P_10', 'P_5', 'P_4']",0,0.641,0.7874
9,Bin 10,116.33571538252366,"['P_2', 'P_4', 'P_3']",0,0.5554,0.7774
10,Bin 11,116.23130052206635,"['P_1', 'P_4', 'P_5', 'P_7']",0,0.6422,0.7888
11,Bin 12,116.02418479185116,"['P_4', 'P_2']",0,0.4341,0.7381
12,Bin 13,115.9903361154263,"['P_1', 'P_5', 'P_10', 'P_4']",0,0.6392,0.7912
13,Bin 14,115.7204865639474,"['P_4', 'P_6', 'P_10', 'P_5']",0,0.6405,0.7869
14,Bin 15,115.48486647711067,"['P_10', 'P_4', 'P_1', 'P_5', 'P_7']",0,0.6992,0.7788
15,Bin 16,115.29967222942047,"['P_5', 'P_6', 'P_4']",0,0.5567,0.7801
16,Bin 17,114.73350558336143,"['P_1', 'P_4', 'P_5']",0,0.559,0.785
17,Bin 18,113.69361101631804,"['P_4', 'P_8', 'P_2', 'P_1']",0,0.6473,0.7839
18,Bin 19,113.12911243918523,"['P_3', 'P_4', 'P_2', 'P_10']",0,0.6399,0.7853
19,Bin 20,113.03154287399823,"['P_3', 'P_4', 'P_8', 'P_5']",0,0.6443,0.7847
20,Bin 21,112.6122201406145,"['P_4', 'P_5', 'P_2', 'P_10']",0,0.6391,0.7877
21,Bin 22,112.56121993818252,"['P_4', 'P_5', 'P_10']",0,0.5506,0.7772
22,Bin 23,112.38618511119466,"['P_5', 'P_2', 'P_3', 'P_8', 'P_7']",0,0.7025,0.7751
23,Bin 24,112.0005204639139,"['P_4', 'P_3', 'P_8', 'P_5', 'P_7']",0,0.7036,0.7716
24,Bin 25,111.24777165628988,"['P_4', 'P_8', 'P_5', 'P_6']",0,0.6483,0.7857
25,Bin 26,111.00308704569063,"['P_1', 'P_5', 'P_6', 'P_10', 'P_4']",0,0.6992,0.7784
26,Bin 27,110.16063917344799,"['P_8', 'P_4', 'P_10', 'P_5']",0,0.6441,0.7831
27,Bin 28,109.84356627436074,"['P_5', 'P_4', 'P_3', 'P_7']",0,0.6409,0.7865
28,Bin 29,109.83402579417772,"['P_7', 'P_10', 'P_5', 'P_4', 'P_8']",0,0.7044,0.7714
29,Bin 30,109.74191349663492,"['P_5', 'P_4', 'P_3', 'P_2', 'P_7']",0,0.7013,0.7775
30,Bin 31,109.69090058108934,"['P_4', 'P_8', 'P_5', 'P_7']",0,0.6462,0.7818
31,Bin 32,109.66681068613475,"['P_4', 'P_5', 'P_3', 'P_2', 'P_1']",0,0.6992,0.7792
32,Bin 33,109.64122054727834,"['P_4', 'P_8', 'P_2', 'P_7']",0,0.6476,0.7794
33,Bin 34,109.53736777352083,"['P_8', 'P_4', 'P_7', 'P_3']",0,0.6484,0.7818
34,Bin 35,109.5365716867306,"['P_4', 'P_8', 'P_7', 'P_10']",0,0.6505,0.7839
35,Bin 36,109.49418754458412,"['P_4', 'P_1', 'P_3', 'P_8', 'P_5']",0,0.705,0.7762
36,Bin 37,109.47261207903777,"['P_4', 'P_2', 'P_10']",0,0.5559,0.7781
37,Bin 38,109.36609433935148,"['P_4', 'P_3', 'P_2', 'P_1']",0,0.6415,0.7877
38,Bin 39,109.30324677492854,"['P_4', 'P_3', 'P_10', 'P_5']",0,0.6361,0.7851
39,Bin 40,109.27244242751419,"['P_4', 'P_8', 'P_3', 'P_2']",0,0.6451,0.7839
40,Bin 42,91.05021125764517,"['P_3', 'P_8', 'P_5']",0,0.5532,0.7722
41,Bin 49,63.12825404504044,"['P_5', 'P_8']",0,0.4295,0.7299
42,Bin 47,40.53225020218079,['P_5'],0,0.2423,0.6437
43,Bin 44,38.08785819216737,"['P_8', 'P_7', 'P_5', 'R_38']",0,0.754,0.6498
44,Bin 48,35.39231183462373,['P_3'],0,0.2442,0.6464
45,Bin 41,32.141106822761316,"['P_6', 'R_88', 'P_10', 'P_7']",0,0.751,0.6594
46,Bin 45,27.202722004106104,['P_1'],0,0.2521,0.6575
47,Bin 43,0.0,"['R_33', 'P_1', 'R_29', 'R_90', 'P_5', 'P_10', 'R_16', 'P_2']",0,0.9652,0.5288
48,Bin 46,0.0,"['R_29', 'P_8', 'R_42', 'P_5', 'P_6']",0,0.8648,0.5786
49,Bin 50,0.0,"['R_28', 'R_61', 'R_55', 'R_5']",0,0.9106,0.505
