,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,751.9972780675091,"['P_5', 'P_10', 'P_1', 'P_4']",0,0.6392,0.7912
1,Bin 2,751.0994330100319,"['P_10', 'P_4', 'P_7', 'P_5']",0,0.641,0.7874
2,Bin 3,738.6188853039591,"['P_4', 'P_6', 'P_5', 'P_1']",0,0.6436,0.7914
3,Bin 4,738.2314009577385,"['P_4', 'P_5', 'P_7', 'P_1']",0,0.6422,0.7888
4,Bin 5,732.1284296294925,"['P_10', 'P_4', 'P_7', 'P_1']",0,0.6438,0.7894
5,Bin 6,730.7595028939425,"['P_5', 'P_10', 'P_6', 'P_4']",0,0.6405,0.7869
6,Bin 7,726.557595017925,"['P_3', 'P_5', 'P_2', 'P_4']",0,0.6405,0.7899
7,Bin 8,725.2046366938303,"['P_4', 'P_5', 'P_1']",0,0.559,0.785
8,Bin 9,722.3050486874332,"['P_4', 'P_5', 'P_3', 'P_1']",0,0.641,0.791
9,Bin 10,721.0924469250281,"['P_4', 'P_10', 'P_5', 'P_2']",0,0.6391,0.7877
10,Bin 11,719.6684188224308,"['P_9', 'P_5', 'P_4', 'P_1']",0,0.6446,0.7904
11,Bin 12,718.0832691717172,"['P_5', 'P_6', 'P_4', 'P_9']",0,0.642,0.788
12,Bin 13,717.9260158647912,"['P_10', 'P_5', 'P_7', 'P_1', 'P_4']",0,0.6992,0.7788
13,Bin 14,716.5063202887901,"['P_5', 'P_10', 'P_4']",0,0.5506,0.7772
14,Bin 15,716.0143026093534,"['P_5', 'P_1', 'P_4', 'P_2']",0,0.6433,0.7907
15,Bin 16,712.6820093861226,"['P_4', 'P_2', 'P_5']",0,0.5565,0.7801
16,Bin 17,710.3732410109384,"['P_4', 'P_5', 'P_9', 'P_2']",0,0.6422,0.7874
17,Bin 18,707.7798083316064,"['P_5', 'P_4', 'P_6']",0,0.5567,0.7801
18,Bin 19,705.5955061880558,"['P_4', 'P_1', 'P_8', 'P_5']",0,0.648,0.7866
19,Bin 20,705.3163705546457,"['P_5', 'P_7', 'P_4', 'P_3']",0,0.6409,0.7865
20,Bin 21,705.0618182068515,"['P_5', 'P_8', 'P_10', 'P_4']",0,0.6441,0.7831
21,Bin 22,703.7940608591653,"['P_1', 'P_4', 'P_2', 'P_9']",0,0.6477,0.7897
22,Bin 23,702.2851638109561,"['P_4', 'P_5', 'P_3', 'P_10']",0,0.6361,0.7851
23,Bin 24,701.119902657606,"['P_4', 'P_7', 'P_1', 'P_6']",0,0.6455,0.7857
24,Bin 25,700.4313577781551,"['P_10', 'P_1', 'P_4']",0,0.5552,0.782
25,Bin 26,698.7546748743791,"['P_4', 'P_6', 'P_5', 'P_7']",0,0.6434,0.7866
26,Bin 27,698.6845051464051,"['P_6', 'P_4', 'P_5', 'P_8']",0,0.6483,0.7857
27,Bin 28,697.8124317207901,"['P_10', 'P_5', 'P_7', 'P_1']",0,0.6376,0.7884
28,Bin 29,697.2141411993725,"['P_9', 'P_4', 'P_5', 'P_10']",0,0.6379,0.7841
29,Bin 30,696.7028424443264,"['P_10', 'P_1', 'P_4', 'P_6']",0,0.6402,0.7862
30,Bin 31,696.2048380233634,"['P_4', 'P_10', 'P_1', 'P_9']",0,0.6432,0.7886
31,Bin 32,695.8855008646451,"['P_4', 'P_5', 'P_6', 'P_2']",0,0.6415,0.7867
32,Bin 33,695.4514129815192,"['P_10', 'P_5', 'P_3', 'P_2']",0,0.6378,0.7886
33,Bin 34,695.4212113117565,"['P_10', 'P_4', 'P_7']",0,0.5612,0.78
34,Bin 35,695.2230518362807,"['P_7', 'P_4', 'P_3', 'P_1']",0,0.6421,0.7843
35,Bin 36,694.3655726948906,"['P_4', 'P_10', 'P_8', 'P_1']",0,0.6456,0.7858
36,Bin 37,693.9829696637108,"['P_4', 'P_7', 'P_1']",0,0.5592,0.7786
37,Bin 38,693.485585638291,"['P_4', 'P_5', 'P_1', 'P_10', 'P_6']",0,0.6992,0.7784
38,Bin 39,693.0896369212952,"['P_4', 'P_7', 'P_9', 'P_5']",0,0.6421,0.7851
39,Bin 40,692.9159555770048,"['P_5', 'P_3', 'P_2', 'P_7']",0,0.6401,0.7883
40,Bin 45,665.634180805899,"['P_10', 'P_6', 'P_4']",0,0.5546,0.7742
41,Bin 41,373.909804941366,['P_4'],0,0.2578,0.6548
42,Bin 46,293.6846492120657,['P_5'],0,0.2423,0.6437
43,Bin 48,260.13364205847006,['P_8'],0,0.2546,0.6476
44,Bin 42,210.5593898308122,"['P_4', 'R_45', 'P_7', 'P_6']",0,0.7588,0.6544
45,Bin 44,23.37147032829195,"['P_8', 'R_29']",0,0.592,0.5732
46,Bin 43,0.0,"['R_33', 'P_4', 'P_7', 'R_85', 'P_9', 'P_10']",0,0.8955,0.5851
47,Bin 47,0.0,"['R_47', 'P_1', 'R_15', 'P_5']",0,0.8207,0.5757
48,Bin 49,0.0,"['R_28', 'R_61', 'R_55', 'R_5']",0,0.9106,0.505
49,Bin 50,0.0,"['R_84', 'R_69', 'R_79', 'R_52']",0,0.9051,0.4983
