,0
,Bin 1
Bin #,"['P_3', 'P_6', 'P_5', 'P_10']"
Top Bin of Features:,1655.3157047975612
Log-Rank ScoreNumber of Instances with No Mismatches in Bin:,5377
Number of Instances with Mismatch(es) in Bin:,4623
p-value from Log Rank Test:,0.0
