,precision,recall,f1-score,support
0,0.9811616954474097,1.0,0.9904912836767037,5000.0
1,1.0,0.9808,0.9903069466882068,5000.0
accuracy,0.9904,0.9904,0.9904,0.9904
macro avg,0.9905808477237048,0.9904,0.9903991151824553,10000.0
weighted avg,0.9905808477237049,0.9904,0.9903991151824554,10000.0
