,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,5497.678139946757,"['P_3', 'P_5', 'P_8', 'P_10', 'P_4', 'P_9', 'P_7', 'P_1', 'P_2']",2,0.5
1,Bin 2,4547.7354426103875,"['P_4', 'P_8', 'P_3', 'P_2', 'P_10', 'P_9', 'P_7', 'P_1']",2,0.438
2,Bin 3,4476.3361886559915,"['P_4', 'P_7', 'P_1', 'P_6', 'P_10', 'P_5', 'P_9', 'P_3']",2,0.4312
3,Bin 4,4472.223044187835,"['P_4', 'P_7', 'P_10', 'P_2', 'P_6', 'P_8', 'P_1', 'P_5']",2,0.4317
4,Bin 5,4458.47335979868,"['P_4', 'P_8', 'P_2', 'P_10', 'P_9', 'P_7', 'P_6', 'P_3']",2,0.4359
5,Bin 6,4447.639681908118,"['P_5', 'P_4', 'P_8', 'P_9', 'P_7', 'P_6', 'P_10', 'P_1']",2,0.4361
6,Bin 7,4394.249478742096,"['P_3', 'P_5', 'P_8', 'P_4', 'P_7', 'P_1', 'P_2', 'P_6']",2,0.4331
7,Bin 8,4345.6870310914555,"['P_7', 'P_6', 'P_5', 'P_9', 'P_3', 'P_1', 'P_8', 'P_2']",2,0.4294
8,Bin 9,4009.1173382964885,"['P_9', 'P_1', 'R_82', 'P_8', 'P_10', 'P_4', 'P_2', 'P_6', 'P_3', 'P_7']",3,0.3937
9,Bin 10,3825.6527499580766,"['P_3', 'P_2', 'P_9', 'P_1', 'P_5', 'P_4', 'P_6', 'P_8', 'R_76', 'P_10']",3,0.3889
10,Bin 11,3688.137541666232,"['P_1', 'P_4', 'P_7', 'P_3', 'P_6', 'P_8', 'P_5', 'R_106', 'P_10', 'P_9']",3,0.3899
11,Bin 12,3357.812702063694,"['P_6', 'P_2', 'P_4', 'P_8', 'P_1', 'P_9', 'P_10']",2,0.3418
12,Bin 13,3324.3020753273618,"['P_7', 'P_2', 'P_6', 'P_8', 'P_3', 'R_167', 'P_1', 'P_9', 'R_37', 'P_10', 'P_4']",3,0.4679
13,Bin 14,3268.5596812221206,"['P_5', 'P_4', 'P_9', 'P_1', 'P_8', 'P_10', 'P_2']",2,0.3385
14,Bin 15,3221.3126933031276,"['P_1', 'P_7', 'P_10', 'P_2', 'P_4', 'P_6', 'P_8']",2,0.3392
15,Bin 16,3218.374147418737,"['P_3', 'P_5', 'P_4', 'P_8', 'P_1', 'P_9', 'P_2']",2,0.3361
16,Bin 17,3190.6973594443666,"['P_8', 'P_4', 'P_2', 'P_6', 'P_1', 'R_71', 'P_5', 'P_9', 'P_3']",2,0.5152
17,Bin 18,3183.322222597327,"['P_5', 'R_20', 'P_4', 'P_8', 'P_9', 'P_7', 'P_1', 'P_3', 'P_6']",2,0.5092
18,Bin 19,3176.3830315438663,"['P_7', 'P_3', 'P_1', 'P_4', 'P_9', 'P_6', 'P_2', 'R_40', 'P_10']",2,0.5074
19,Bin 20,3169.085191858622,"['P_4', 'P_2', 'P_6', 'P_1', 'P_9', 'P_3', 'P_10']",2,0.3373
20,Bin 21,3161.7721816239386,"['P_4', 'P_8', 'P_3', 'P_2', 'P_10', 'P_9', 'P_1']",2,0.3375
21,Bin 22,3158.252692840231,"['P_8', 'P_4', 'P_6', 'P_1', 'P_5', 'R_116', 'P_9', 'P_2', 'R_90', 'P_3', 'P_7']",3,0.4673
22,Bin 23,3156.5938701768155,"['P_7', 'P_4', 'P_9', 'P_6', 'P_2', 'P_5', 'P_3', 'R_132', 'P_1']",2,0.5102
23,Bin 24,3152.350153083194,"['P_4', 'P_10', 'P_8', 'P_1', 'P_5', 'P_2', 'P_6']",2,0.3336
24,Bin 25,3149.2095727247847,"['P_1', 'P_9', 'P_7', 'P_10', 'P_2', 'P_4', 'P_6']",2,0.3385
25,Bin 26,3144.9685234922,"['P_4', 'P_1', 'P_2', 'P_8', 'P_7', 'P_10', 'P_5', 'R_26', 'P_3']",2,0.5124
26,Bin 27,3118.643764388703,"['P_1', 'P_10', 'P_4', 'P_7', 'P_3', 'P_6', 'P_8']",2,0.3341
27,Bin 28,3111.4170650670544,"['P_4', 'P_1', 'P_3', 'P_8', 'P_6', 'P_9', 'P_10']",2,0.336
28,Bin 29,3109.846840907926,"['P_3', 'P_2', 'R_176', 'P_9', 'P_1', 'P_5', 'P_4', 'P_6', 'P_8']",2,0.5148
29,Bin 30,3101.3635147603127,"['P_5', 'P_8', 'P_6', 'P_3', 'P_1', 'P_2', 'P_4']",2,0.3368
30,Bin 31,3100.5520447769554,"['P_3', 'P_5', 'P_8', 'P_6', 'P_1', 'P_9', 'P_2']",2,0.3353
31,Bin 32,3100.424847999099,"['P_8', 'P_4', 'P_6', 'P_5', 'P_9', 'P_10', 'P_2']",2,0.3299
