,0
Bin #,Bin 1
Top Bin of Features:,"['P_1', 'P_10', 'P_5', 'P_8', 'P_4', 'P_2', 'P_9', 'P_7']"
Log-Rank Score,4522.073484281023
Number of Instances with No Mismatches in Bin:,5629
Number of Instances with Mismatch(es) in Bin:,4371
p-value from Log Rank Test:,0.0
Threshold,2
