,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,5497.678139946757,"['P_8', 'P_1', 'P_9', 'P_10', 'P_6', 'P_2', 'P_5', 'P_7', 'P_4']",2,0.5,1.0
1,Bin 2,4602.753371451821,"['P_8', 'P_9', 'P_10', 'P_2', 'P_1', 'P_4', 'P_6', 'P_7']",2,0.4375,0.9375
2,Bin 3,4472.223044187835,"['P_1', 'P_10', 'P_2', 'P_4', 'P_6', 'P_5', 'P_7', 'P_8']",2,0.4317,0.9317
3,Bin 4,4357.347154905425,"['P_8', 'P_1', 'P_9', 'P_5', 'P_6', 'P_7', 'P_10', 'P_2']",2,0.4321,0.9321
4,Bin 5,3357.812702063694,"['P_8', 'P_1', 'P_9', 'P_10', 'P_6', 'P_2', 'P_4']",2,0.3418,0.8418
5,Bin 6,3300.003627114736,"['P_1', 'P_2', 'P_4', 'P_5', 'P_7', 'P_8', 'P_9']",2,0.3394,0.8394
6,Bin 7,3221.3126933031276,"['P_1', 'P_4', 'P_6', 'P_10', 'P_2', 'P_8', 'P_7']",2,0.3392,0.8392
7,Bin 8,3149.2095727247847,"['P_1', 'P_6', 'P_10', 'P_2', 'P_7', 'P_9', 'P_4']",2,0.3385,0.8385
8,Bin 9,3104.918646727465,"['P_2', 'P_4', 'P_8', 'P_1', 'P_9', 'P_5', 'R_125', 'P_6', 'P_7']",2,0.5087,0.9197
9,Bin 10,3103.7648756089816,"['P_8', 'P_5', 'P_6', 'P_7', 'P_2', 'P_9', 'P_4']",2,0.3348,0.8348
10,Bin 11,3095.731327303501,"['P_5', 'P_1', 'P_9', 'P_10', 'P_2', 'P_6', 'P_8']",2,0.333,0.833
11,Bin 12,3083.618303296162,"['P_5', 'P_8', 'P_7', 'P_1', 'P_9', 'P_10', 'P_4']",2,0.3377,0.8377
12,Bin 13,3044.242206326333,"['P_1', 'P_4', 'P_6', 'P_10', 'R_82', 'P_2', 'P_9', 'P_5', 'P_7']",2,0.5113,0.9197
13,Bin 14,3036.015881026933,"['P_1', 'P_2', 'P_9', 'P_4', 'P_10', 'P_7', 'P_6', 'R_199', 'P_8']",2,0.5115,0.9195
14,Bin 15,2998.6473045233497,"['P_5', 'P_8', 'P_10', 'R_271', 'P_1', 'P_9', 'P_4', 'P_7', 'P_6']",2,0.5105,0.9177
15,Bin 16,2996.5206830819957,"['P_2', 'R_71', 'P_5', 'P_7', 'P_8', 'P_6', 'P_9', 'P_10', 'P_1']",2,0.5094,0.9192
16,Bin 17,2957.82716554356,"['P_5', 'P_1', 'P_9', 'R_304', 'P_10', 'P_8', 'P_4', 'P_7', 'P_6']",2,0.5106,0.9184
17,Bin 18,2935.8589034546617,"['P_6', 'P_1', 'P_9', 'R_443', 'R_112', 'P_2', 'P_7', 'P_4', 'P_3', 'P_10']",3,0.3852,0.8514
18,Bin 19,2809.7434128486852,"['P_10', 'R_182', 'P_2', 'R_249', 'P_4', 'P_8', 'P_7', 'P_6', 'P_1', 'P_9']",3,0.3916,0.8514
19,Bin 20,2802.7877360761277,"['P_8', 'P_9', 'R_108', 'P_4', 'P_1', 'P_10', 'P_7', 'P_6']",2,0.4395,0.8735
20,Bin 21,2758.388453330163,"['P_2', 'P_4', 'P_8', 'R_59', 'P_5', 'R_125', 'P_1', 'P_6', 'P_10', 'P_7']",3,0.384,0.8476
21,Bin 22,2757.0236353060654,"['R_182', 'P_2', 'P_4', 'P_8', 'P_7', 'P_1', 'P_9', 'P_5']",2,0.4397,0.8661
22,Bin 23,2746.1508845403223,"['P_4', 'P_10', 'R_82', 'P_2', 'P_9', 'R_375', 'P_1', 'P_6', 'P_7', 'P_5']",3,0.3951,0.8529
23,Bin 24,2725.1730191191377,"['P_10', 'P_7', 'P_4', 'P_1', 'P_2', 'P_9']",1,0.4986,0.8908
24,Bin 25,2723.059871592009,"['P_4', 'P_7', 'P_10', 'R_161', 'P_8', 'P_1', 'P_9', 'P_6']",2,0.4403,0.8695
25,Bin 26,2711.953182798567,"['P_6', 'P_2', 'P_1', 'P_10', 'P_8', 'P_4', 'R_129', 'P_7']",2,0.4344,0.8694
26,Bin 27,2702.32533107368,"['P_1', 'P_4', 'P_7', 'P_6', 'P_10', 'P_9']",1,0.4993,0.8893
27,Bin 28,2698.888214967289,"['P_8', 'P_9', 'P_6', 'P_4', 'P_1', 'R_143', 'P_7', 'P_10']",2,0.4422,0.8692
28,Bin 29,2694.1683982870877,"['P_1', 'P_2', 'P_8', 'P_9', 'P_10', 'R_22', 'P_4', 'P_6']",2,0.4376,0.8704
29,Bin 30,2685.868212888487,"['P_4', 'P_2', 'P_9', 'P_8', 'P_1', 'P_10']",1,0.4994,0.8908
30,Bin 31,2683.8137004701643,"['P_1', 'P_2', 'P_8', 'P_7', 'R_317', 'P_4', 'P_10', 'P_9']",2,0.4399,0.8679
31,Bin 32,2683.1383816421994,"['R_280', 'P_6', 'P_10', 'P_2', 'P_1', 'P_4', 'P_8', 'P_9']",2,0.4381,0.8703
32,Bin 33,2682.7980718166873,"['P_6', 'P_1', 'P_9', 'R_443', 'P_8', 'P_2', 'P_7', 'P_4']",2,0.4337,0.8693
33,Bin 34,2676.8083143198514,"['P_5', 'P_8', 'P_7', 'P_1', 'R_280', 'P_4', 'P_9', 'P_2']",2,0.4396,0.8676
34,Bin 35,2657.4513118611444,"['P_8', 'R_285', 'P_1', 'P_10', 'P_6', 'P_2', 'P_7', 'R_428', 'P_4', 'P_9']",3,0.3956,0.854
35,Bin 36,2646.5499298386344,"['P_5', 'P_8', 'P_7', 'R_268', 'P_1', 'P_9', 'P_4', 'P_6']",2,0.4369,0.8669
36,Bin 37,2639.3632393845705,"['P_1', 'P_7', 'P_8', 'P_9', 'P_10', 'P_4']",1,0.501,0.8906
37,Bin 38,2635.47832781476,"['P_1', 'P_2', 'P_7', 'P_4', 'P_8', 'P_9']",1,0.4975,0.8873
38,Bin 39,2626.969333914801,"['P_6', 'P_7', 'P_4', 'P_1', 'P_2', 'P_9']",1,0.4989,0.8891
39,Bin 40,2619.463121535197,"['P_1', 'P_5', 'P_9', 'P_10', 'P_6', 'P_8', 'R_469', 'P_4']",2,0.4392,0.8694
40,Bin 45,1264.8059553245457,"['P_4', 'P_6', 'R_45', 'P_10', 'P_2', 'R_129', 'P_7']",2,0.3806,0.7592
41,Bin 49,1204.7348034909814,"['P_1', 'P_2', 'P_5', 'R_376', 'P_9', 'R_84', 'P_8']",2,0.3858,0.7618
42,Bin 47,1131.5911824798643,"['P_5', 'R_372', 'P_4', 'P_10', 'P_7']",1,0.4507,0.7627
43,Bin 46,858.4511900840022,"['P_7', 'P_2']",0,0.4298,0.735
44,Bin 41,809.0392698817411,"['P_4', 'P_2', 'P_8', 'R_284', 'P_10', 'R_304']",2,0.2923,0.7021
45,Bin 44,791.6049167387298,"['R_71', 'P_7', 'R_387', 'P_8', 'R_247', 'P_6', 'R_357', 'P_1', 'P_5']",3,0.3685,0.7165
46,Bin 43,613.0011245569679,"['P_2', 'R_167', 'P_5', 'P_10', 'R_49', 'R_434', 'P_4']",2,0.4285,0.7013
47,Bin 48,459.7862592410736,"['R_438', 'P_8', 'P_7']",1,0.2352,0.641
48,Bin 42,382.2735069208331,"['R_37', 'P_1', 'R_395', 'P_8', 'R_114', 'P_7']",2,0.3502,0.654
49,Bin 50,37.647191395132666,"['R_382', 'R_484', 'P_4', 'R_46', 'R_332', 'R_61', 'R_430', 'R_424']",2,0.7394,0.5358
