,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,4522.073484281023,"['P_1', 'P_10', 'P_5', 'P_8', 'P_4', 'P_2', 'P_9', 'P_7']",2,0.4371
1,Bin 2,3077.3125424858977,"['P_4', 'P_8', 'P_2', 'P_7', 'P_9', 'P_1', 'R_275', 'P_10', 'P_5']",2,0.5131
2,Bin 3,3066.9798882312825,"['P_4', 'P_10', 'P_1', 'P_7', 'P_5', 'P_9', 'P_2']",2,0.3341
3,Bin 4,3053.783037425751,"['P_10', 'P_7', 'P_5', 'P_9', 'P_8', 'P_2', 'P_1']",2,0.3318
4,Bin 5,2834.2904178430613,"['P_5', 'P_4', 'P_2', 'R_433', 'P_10', 'P_1', 'P_8', 'P_7']",2,0.4313
5,Bin 6,2798.286274530251,"['P_4', 'P_1', 'P_9', 'R_582', 'P_10', 'P_8', 'P_2', 'P_7']",2,0.4427
6,Bin 7,2794.046528868754,"['P_7', 'P_5', 'P_4', 'P_2', 'P_8', 'R_293', 'P_1', 'P_9']",2,0.434
7,Bin 8,2752.243938503492,"['P_8', 'P_1', 'P_9', 'P_4', 'P_2', 'P_5']",1,0.5012
8,Bin 9,2730.88578263434,"['R_527', 'P_1', 'P_4', 'P_2', 'P_8', 'P_7', 'P_9', 'P_10']",2,0.4422
9,Bin 10,2727.1517098994477,"['P_5', 'P_4', 'P_2', 'P_10', 'P_1', 'P_8']",1,0.4969
10,Bin 11,2725.1730191191377,"['P_9', 'P_4', 'P_10', 'P_1', 'P_2', 'P_7']",1,0.4986
11,Bin 12,2717.446933001074,"['P_2', 'P_10', 'P_7', 'P_9', 'P_5', 'P_4', 'R_501', 'P_8']",2,0.4381
12,Bin 13,2701.6250006670216,"['P_4', 'P_1', 'P_5', 'P_9', 'P_10', 'P_8', 'R_475', 'P_2']",2,0.441
13,Bin 14,2695.591202364076,"['P_5', 'P_2', 'P_8', 'P_1', 'R_385', 'P_10', 'P_7', 'P_4']",2,0.4366
14,Bin 15,2689.8189813926538,"['P_1', 'P_2', 'R_83', 'P_8', 'P_7', 'P_10', 'P_3', 'P_9']",2,0.4377
15,Bin 16,2685.868212888487,"['P_10', 'P_4', 'P_8', 'P_9', 'P_2', 'P_1']",1,0.4994
16,Bin 17,2679.8479159918743,"['P_1', 'P_4', 'P_5', 'P_10', 'P_7', 'P_2']",1,0.4965
17,Bin 18,2653.4627058164942,"['P_1', 'P_4', 'P_5', 'P_2', 'P_8', 'P_7']",1,0.4962
18,Bin 19,2639.3632393845705,"['P_8', 'P_7', 'P_10', 'P_1', 'P_4', 'P_9']",1,0.501
19,Bin 20,2635.47832781476,"['P_9', 'P_4', 'P_1', 'P_2', 'P_7', 'P_8']",1,0.4975
20,Bin 21,2622.3328864131095,"['P_7', 'P_10', 'R_125', 'P_5', 'P_4', 'P_8', 'P_9', 'P_2']",2,0.4388
21,Bin 22,2614.6344828686833,"['P_10', 'P_8', 'P_5', 'P_9', 'P_2', 'P_4']",1,0.4986
22,Bin 23,2613.7205829148616,"['P_8', 'P_9', 'P_4', 'P_2', 'P_10', 'P_7']",1,0.5018
23,Bin 24,2594.5303834088945,"['P_4', 'P_10', 'P_7', 'P_5', 'P_9', 'P_2']",1,0.4973
24,Bin 25,2580.6957819716054,"['P_5', 'P_2', 'P_8', 'P_7', 'P_10', 'P_4']",1,0.4957
25,Bin 26,2575.450802297748,"['P_8', 'P_4', 'P_1', 'P_2', 'P_10', 'P_7', 'R_514', 'P_5']",2,0.4371
26,Bin 27,2573.0403306572116,"['P_2', 'P_10', 'P_1', 'P_9', 'P_7', 'P_8']",1,0.5007
27,Bin 28,2570.1739226036807,"['P_8', 'P_7', 'P_10', 'R_458', 'P_3', 'P_9', 'P_5', 'P_4']",2,0.4327
28,Bin 29,2563.111555385052,"['P_2', 'P_10', 'P_7', 'P_1', 'P_9', 'P_5']",1,0.4956
29,Bin 30,2558.5079139907407,"['P_1', 'P_10', 'P_8', 'P_4', 'P_9', 'P_5']",1,0.4964
30,Bin 31,2545.551322937075,"['P_1', 'P_7', 'P_10', 'P_5', 'P_8', 'P_4']",1,0.4963
31,Bin 32,2520.3364831280564,"['P_4', 'P_8', 'P_2', 'P_7', 'P_9', 'P_5']",1,0.499
32,Bin 33,2453.172473312178,"['P_10', 'P_8', 'P_7', 'P_1', 'P_5', 'P_9']",1,0.4942
33,Bin 34,2427.9689597199617,"['P_4', 'P_2', 'P_10', 'P_7', 'P_1']",1,0.4094
34,Bin 35,2415.4749223110957,"['P_10', 'P_8', 'P_2', 'P_4', 'P_1']",1,0.4079
35,Bin 36,2386.3334270590058,"['P_8', 'P_1', 'P_9', 'P_4', 'P_2']",1,0.4115
36,Bin 37,2384.8095700736394,"['P_9', 'P_7', 'P_4', 'P_10', 'P_8', 'P_5']",1,0.4983
37,Bin 38,2374.2264959253675,"['P_9', 'P_4', 'P_10', 'P_1', 'P_2']",1,0.4067
38,Bin 39,2368.3625646173405,"['P_9', 'P_2', 'P_4', 'P_1', 'P_7']",1,0.4086
39,Bin 40,2350.1805580272076,"['P_10', 'P_8', 'P_4', 'P_9', 'P_2']",1,0.4119
40,Bin 50,2120.839852674184,"['P_7', 'P_10', 'P_4', 'P_9', 'P_5']",1,0.4072
41,Bin 48,1624.9933493046913,"['R_284', 'P_10', 'R_561', 'P_1', 'P_7', 'P_8', 'P_4', 'P_2']",2,0.4646
42,Bin 42,1097.506697435661,"['R_192', 'P_4', 'P_2', 'P_1', 'P_5']",1,0.4553
43,Bin 45,1088.3393690956207,"['P_10', 'R_227', 'P_5', 'P_2', 'P_3']",1,0.4422
44,Bin 41,1047.032606891647,"['P_7', 'P_10', 'P_2']",0,0.5573
45,Bin 44,907.0931564365297,"['P_1', 'P_2']",0,0.4307
46,Bin 46,890.1155385308577,"['P_2', 'R_304', 'P_9', 'P_1', 'R_275', 'P_8']",2,0.2978
47,Bin 49,766.4138751150325,"['P_8', 'R_355', 'P_1', 'P_10']",1,0.3485
48,Bin 43,662.293730059051,"['P_10', 'P_7', 'P_5', 'R_338', 'P_1', 'R_30', 'R_457']",2,0.4402
49,Bin 47,612.2665281341756,"['P_2', 'R_444', 'P_9', 'R_486', 'P_1']",2,0.2103
