,Bin #,Score,Bins,Threshold,High Risk Ratio
0,Bin 1,104.12035826064596,"['P_4', 'R_17', 'R_677']",1,0.3243
1,Bin 2,71.67016772644767,"['P_3', 'R_592', 'R_298']",1,0.3196
2,Bin 3,34.71874399444117,"['R_539', 'P_10', 'R_47', 'R_476', 'R_17', 'R_214', 'R_589', 'R_284', 'R_508', 'R_285']",3,0.6894
3,Bin 4,33.14411846335354,"['R_465', 'R_344', 'R_644', 'P_3', 'R_602']",2,0.3314
4,Bin 5,22.372063622842923,"['R_654', 'P_10', 'R_458', 'R_29', 'R_644', 'R_520', 'R_180', 'R_47', 'R_298']",3,0.5818
5,Bin 6,21.659392278094767,"['P_10', 'R_497', 'R_513', 'R_17', 'R_688', 'R_576', 'R_554']",2,0.6273
6,Bin 7,18.536648968921227,"['P_10', 'R_513', 'R_17', 'R_688', 'R_576', 'R_554']",1,0.7859
7,Bin 8,17.359407811533718,"['P_3', 'R_67', 'R_52', 'R_290', 'R_103', 'R_51', 'R_186']",2,0.6165
8,Bin 9,14.967285535762962,"['R_344', 'R_644', 'R_520', 'P_3', 'R_107', 'R_592']",2,0.4744
9,Bin 10,10.80013648827388,"['R_210', 'R_513', 'R_193', 'R_331', 'R_537', 'R_602', 'R_579', 'R_520', 'R_189']",3,0.6347
10,Bin 11,10.761100987359487,"['R_210', 'R_396', 'R_513', 'R_331', 'R_602', 'R_579', 'R_520', 'R_374']",3,0.5249
11,Bin 12,9.633196043746228,"['P_3', 'R_586', 'R_107', 'R_674', 'R_592', 'R_17', 'R_513']",3,0.3219
12,Bin 13,8.330427754244921,"['R_136', 'P_10', 'R_513', 'R_579', 'R_298', 'R_347', 'R_17', 'R_688', 'R_589']",3,0.5811
13,Bin 14,7.439548568348111,"['R_210', 'R_396', 'R_513']",1,0.4187
14,Bin 15,7.1543325375247315,"['R_51', 'R_103', 'R_47', 'R_672', 'R_412', 'R_210', 'R_285', 'R_634', 'R_591', 'R_124', 'R_602']",3,0.7928
15,Bin 16,6.852546897964653,"['P_10', 'R_520', 'R_613', 'R_180', 'R_298', 'R_459', 'R_648', 'R_51', 'R_47', 'R_186']",3,0.6864
16,Bin 17,6.290294513959917,"['R_517', 'R_374', 'R_47', 'R_298', 'R_464', 'R_397']",3,0.2558
17,Bin 18,6.201367967976097,"['R_452', 'R_517', 'R_513', 'R_47']",1,0.6058
18,Bin 19,5.891163040571855,"['R_122', 'R_448', 'R_534', 'R_476']",1,0.6097
19,Bin 20,5.829803310815857,"['R_210', 'R_513', 'R_374', 'R_215', 'R_355']",1,0.7408
20,Bin 21,5.813903041066333,"['R_682', 'R_122', 'R_448', 'R_214', 'R_369', 'R_389']",3,0.2574
21,Bin 22,5.590653365131472,"['R_210', 'R_427', 'R_8', 'R_51', 'R_513', 'R_298', 'R_601']",2,0.6748
22,Bin 23,5.513023659539721,"['R_51', 'R_513', 'R_52', 'R_298', 'R_355']",1,0.7441
23,Bin 24,5.137017510303206,"['R_289', 'R_17', 'R_589', 'R_145', 'R_602', 'R_113', 'R_477', 'R_82']",2,0.7694
24,Bin 25,4.963027783124619,"['R_193', 'R_331', 'R_537', 'R_602', 'R_380', 'R_586']",2,0.5597
25,Bin 26,4.9298553915477115,"['R_74', 'R_534', 'R_482', 'R_600', 'R_592', 'R_47', 'R_635', 'R_56']",2,0.7745
26,Bin 27,4.888887065533544,"['R_589', 'R_520', 'R_47', 'R_554', 'R_51', 'R_464', 'R_586', 'R_476']",2,0.7814
27,Bin 28,4.884701068247667,"['R_214', 'R_210', 'R_165', 'R_396', 'R_121', 'R_607', 'R_342']",2,0.6763
28,Bin 29,4.863122239313,"['R_319', 'R_541', 'R_461', 'R_17']",2,0.2442
29,Bin 30,4.741936713618263,"['R_127', 'R_592', 'R_210', 'R_579', 'R_676', 'R_189']",3,0.2529
30,Bin 31,4.652340978601904,"['R_513', 'R_193', 'R_331', 'R_537', 'R_602']",1,0.7409
31,Bin 32,4.21873177671402,"['R_513', 'R_52', 'R_355', 'R_683', 'R_136']",1,0.7374
32,Bin 33,4.079651871561712,"['R_690', 'R_136', 'R_513', 'R_517', 'R_298']",1,0.7301
33,Bin 34,3.9304944460143023,"['R_586', 'R_107', 'R_17', 'R_554', 'R_355']",1,0.7385
34,Bin 35,3.8097450670057706,"['R_17', 'R_214', 'R_589', 'R_508', 'R_285']",1,0.7391
35,Bin 36,3.715564138432432,"['R_648', 'R_51', 'R_52', 'R_677', 'R_592', 'R_601', 'R_47', 'R_186']",3,0.5136
36,Bin 37,3.7018956890815997,"['R_540', 'R_513', 'R_439', 'R_517', 'R_52', 'R_189', 'R_47']",3,0.3876
37,Bin 38,3.4349353656369708,"['R_541', 'R_427', 'R_167', 'R_136', 'R_17']",1,0.7348
