,precision,recall,f1-score,support
0,0.928332714444857,1.0,0.9628345850182938,5000.0
1,1.0,0.9228,0.959850218431454,5000.0
accuracy,0.9614,0.9614,0.9614,0.9614
macro avg,0.9641663572224285,0.9614,0.961342401724874,10000.0
weighted avg,0.9641663572224285,0.9614,0.9613424017248738,10000.0
