,0
,Bin 1
Bin #,"['P_4', 'P_6', 'P_2', 'P_8']"
Top Bin of Features:,2432.7626875806004
Log-Rank ScoreNumber of Instances with No Mismatches in Bin:,5363
Number of Instances with Mismatch(es) in Bin:,4637
p-value from Log Rank Test:,0.0
