,precision,recall,f1-score,support
0,0.9410878976096367,1.0,0.9696499563657519,5000.0
1,1.0,0.9374,0.9676886548983173,5000.0
accuracy,0.9687,0.9687,0.9687,0.9687
macro avg,0.9705439488048184,0.9687,0.9686693056320346,10000.0
weighted avg,0.9705439488048185,0.9687,0.9686693056320346,10000.0
