,precision,recall,f1-score,support
0,0.9319664492078286,1.0,0.964785335262904,5000.0
1,1.0,0.927,0.9621172807472755,5000.0
accuracy,0.9635,0.9635,0.9635,0.9635
macro avg,0.9659832246039143,0.9635,0.9634513080050897,10000.0
weighted avg,0.9659832246039143,0.9635,0.9634513080050898,10000.0
