,precision,recall,f1-score,support
0,0.9790483649892304,1.0,0.9894132779261897,5000.0
1,1.0,0.9786,0.9891842717072677,5000.0
accuracy,0.9893,0.9893,0.9893,0.9893
macro avg,0.9895241824946153,0.9893000000000001,0.9892987748167288,10000.0
weighted avg,0.9895241824946152,0.9893,0.9892987748167288,10000.0
