,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
18,Bin 19,0,"['R_40', 'R_326', 'R_309', 'R_366', 'R_7', 'R_198', 'R_270', 'R_370', 'R_14', 'R_484', 'R_315', 'P_1', 'R_41', 'R_128', 'R_4', 'R_292', 'R_80', 'R_243', 'R_158', 'R_68', 'R_237']",0,1.0,0.5
19,Bin 20,0,"['R_339', 'R_190', 'R_112', 'R_476', 'R_230', 'R_117', 'R_208', 'R_63', 'R_92', 'R_475', 'R_275', 'R_68', 'R_371', 'R_213', 'R_162', 'R_73', 'R_61', 'R_4', 'R_74', 'R_472', 'R_160', 'R_100', 'R_34', 'R_262', 'R_297', 'R_265', 'R_306', 'R_304', 'R_126']",0,1.0,0.5
20,Bin 21,0,"['R_170', 'R_337', 'R_84', 'R_338', 'R_166', 'R_260', 'R_390', 'R_312', 'P_8', 'R_392', 'R_449', 'R_384', 'R_333', 'R_316', 'R_397', 'R_87', 'R_475', 'R_284', 'R_320', 'R_132', 'R_268', 'R_367', 'R_191', 'R_464', 'R_423', 'R_79']",0,1.0,0.5
21,Bin 22,0,"['P_6', 'R_234', 'R_342', 'R_12', 'R_29', 'R_81', 'R_336', 'R_76', 'R_294', 'R_152', 'R_10', 'R_125', 'R_458', 'R_477', 'R_363', 'R_327', 'R_450', 'R_93', 'R_58', 'R_479', 'R_390', 'R_168', 'R_297', 'R_246', 'R_56']",0,1.0,0.5
22,Bin 23,0,"['R_367', 'R_57', 'R_218', 'R_205', 'R_420', 'R_324', 'R_461', 'R_466', 'R_277', 'R_299', 'R_479', 'R_379', 'R_101', 'R_393', 'R_283', 'R_31']",0,0.9999,0.5001
23,Bin 24,0,"['R_467', 'R_285', 'R_321', 'R_219', 'R_64', 'R_88', 'R_375', 'R_357', 'R_94', 'R_99', 'R_455', 'R_445', 'R_359', 'R_141', 'R_245', 'R_363', 'R_235', 'R_67', 'R_50', 'R_105', 'R_437', 'R_462', 'R_143', 'R_52']",0,1.0,0.5
24,Bin 25,0,"['R_471', 'R_374', 'R_47', 'R_49', 'R_72', 'R_126', 'R_203', 'R_352', 'R_386', 'R_482', 'R_404', 'R_18', 'R_103', 'R_210', 'R_50', 'R_115', 'R_304', 'R_19', 'R_5', 'R_150', 'R_396', 'P_2', 'R_365', 'R_206', 'P_8', 'R_21', 'R_419']",0,1.0,0.5
25,Bin 26,0,"['R_182', 'R_126', 'R_247', 'R_230', 'R_273', 'R_212', 'R_207', 'R_275', 'P_8', 'R_441', 'R_406', 'R_68', 'R_486', 'R_300', 'R_137', 'R_111', 'R_480', 'R_482', 'P_7', 'R_84']",0,1.0,0.5
26,Bin 27,0,"['R_137', 'P_7', 'R_26', 'R_48', 'R_82', 'R_153', 'R_320', 'R_67', 'R_417', 'R_224', 'R_192', 'R_442', 'R_231', 'R_297', 'R_340', 'R_113']",0,1.0,0.5
27,Bin 28,0,"['R_289', 'R_76', 'R_139', 'R_362', 'R_91', 'R_222', 'R_428', 'R_464', 'R_239', 'R_207', 'R_271', 'R_335', 'R_275', 'R_303', 'R_364', 'P_2', 'R_340', 'R_113', 'R_233', 'R_329', 'R_280', 'R_284', 'R_481', 'R_406', 'R_486']",0,1.0,0.5
28,Bin 29,0,"['R_142', 'R_425', 'R_207', 'R_1', 'R_17', 'R_360', 'R_407', 'R_147', 'R_240', 'R_26', 'R_279', 'R_25', 'R_471', 'R_453', 'P_9', 'R_209', 'R_478', 'R_253', 'R_481', 'R_260', 'R_324']",0,1.0,0.5
29,Bin 30,0,"['R_375', 'R_454', 'R_423', 'R_391', 'R_222', 'R_6', 'R_284', 'R_181', 'R_107', 'R_446', 'R_404', 'R_207', 'R_118', 'R_26', 'R_190', 'R_344', 'R_157', 'R_308', 'R_167', 'R_419', 'R_94', 'R_82']",0,1.0,0.5
30,Bin 31,0,"['R_398', 'R_349', 'R_417', 'R_40', 'R_301', 'R_406', 'R_317', 'R_185', 'R_455', 'R_451', 'R_397', 'R_463', 'R_224', 'R_225', 'R_439', 'R_19', 'R_60', 'R_145', 'R_165', 'R_182', 'R_476', 'R_200']",0,1.0,0.5
31,Bin 32,0,"['R_91', 'R_400', 'R_58', 'R_453', 'R_221', 'R_386', 'R_46', 'R_368', 'R_123', 'R_324', 'R_47', 'R_104', 'R_261', 'R_319', 'R_365', 'R_310', 'R_425', 'R_287', 'R_318', 'R_187', 'R_363', 'P_9', 'R_44', 'R_114', 'R_132', 'R_159', 'R_169']",0,1.0,0.5
32,Bin 33,0,"['R_419', 'R_157', 'R_265', 'R_121', 'R_442', 'R_217', 'R_158', 'R_189', 'R_315', 'R_145', 'R_249', 'R_171', 'P_6', 'R_164', 'R_416', 'R_10', 'R_304', 'R_242', 'R_448', 'R_293', 'R_139', 'R_401', 'R_309', 'R_232']",0,1.0,0.5
33,Bin 34,0,"['R_59', 'R_349', 'R_2', 'R_262', 'R_49', 'R_162', 'R_146', 'R_393', 'R_169', 'R_121', 'R_434', 'R_27', 'R_123', 'R_463', 'R_35', 'R_355', 'R_20', 'R_21', 'R_445', 'R_489', 'R_213', 'R_294', 'R_208', 'R_177']",0,1.0,0.5
34,Bin 35,0,"['R_232', 'R_484', 'R_263', 'R_452', 'R_34', 'R_148', 'R_476', 'R_152', 'R_345', 'R_234', 'R_120', 'R_79', 'R_374', 'R_352', 'R_244', 'R_376', 'R_264', 'R_27', 'R_78', 'R_395', 'R_18', 'R_350', 'R_458', 'R_96', 'R_46', 'R_192', 'R_101', 'R_274', 'R_487', 'R_200', 'R_448']",0,1.0,0.5
35,Bin 36,0,"['P_9', 'R_138', 'R_251', 'R_428', 'R_379', 'R_457', 'R_128', 'R_181', 'R_368', 'R_360', 'R_186', 'R_202', 'R_487', 'R_421', 'R_386', 'R_407', 'R_370', 'R_488', 'R_426']",0,0.9999,0.5001
36,Bin 37,0,"['R_12', 'R_73', 'R_13', 'R_48', 'R_119', 'R_168', 'R_247', 'R_448', 'R_155', 'R_490', 'R_416', 'R_432', 'R_480', 'R_218', 'R_224', 'R_269', 'R_372', 'R_210', 'R_77', 'R_369', 'R_298', 'R_31', 'R_244', 'R_6', 'R_333', 'R_18', 'R_420', 'R_154', 'R_152']",0,1.0,0.5
37,Bin 38,0,"['R_260', 'R_94', 'R_25', 'R_13', 'R_290', 'R_387', 'R_468', 'R_256', 'R_347', 'R_385', 'R_343', 'R_56', 'R_188', 'R_158', 'R_27', 'R_51', 'R_254', 'R_330', 'R_459', 'R_402', 'R_488', 'R_471', 'R_384']",0,1.0,0.5
38,Bin 39,0,"['R_46', 'R_211', 'R_359', 'R_377', 'R_418', 'R_414', 'R_438', 'R_210', 'R_393', 'R_468', 'R_1', 'R_130', 'R_89', 'R_206', 'R_70', 'R_308', 'R_466', 'R_85', 'R_396', 'R_404', 'R_58', 'R_218']",0,1.0,0.5
39,Bin 40,0,"['R_337', 'R_180', 'R_316', 'R_430', 'R_335', 'R_117', 'R_314', 'R_226', 'R_318', 'R_108', 'R_249', 'R_224', 'R_265', 'R_437', 'R_194', 'R_339', 'R_119', 'R_313', 'R_282', 'R_307', 'R_434']",0,1.0,0.5
