,precision,recall,f1-score,support
0,0.9763718023823472,1.0,0.9880446596186149,5000.0
1,1.0,0.9758,0.9877517967405608,5000.0
accuracy,0.9879,0.9879,0.9879,0.9879
macro avg,0.9881859011911736,0.9879,0.9878982281795878,10000.0
weighted avg,0.9881859011911737,0.9879,0.9878982281795877,10000.0
