,precision,recall,f1-score,support
0,0.7587802885924313,0.5574,0.6426841923209962,5000.0
1,0.650229176544966,0.8228,0.7264059327271121,5000.0
accuracy,0.6901,0.6901,0.6901,0.6901
macro avg,0.7045047325686986,0.6900999999999999,0.6845450625240541,10000.0
weighted avg,0.7045047325686986,0.6901,0.6845450625240541,10000.0
