,precision,recall,f1-score,support
0,0.631936127744511,0.3166,0.4218520986009327,5000.0
1,0.5440960640426952,0.8156,0.6527410964385755,5000.0
accuracy,0.5661,0.5661,0.5661,0.5661
macro avg,0.5880160958936032,0.5661,0.5372965975197541,10000.0
weighted avg,0.588016095893603,0.5661,0.5372965975197541,10000.0
