,precision,recall,f1-score,support
0,0.9386146048432513,1.0,0.9683354313934347,5000.0
1,1.0,0.9346,0.966194562183397,5000.0
accuracy,0.9673,0.9673,0.9673,0.9673
macro avg,0.9693073024216257,0.9673,0.9672649967884159,10000.0
weighted avg,0.9693073024216258,0.9673,0.9672649967884159,10000.0
