,precision,recall,f1-score,support
0,0.5051948051948052,0.3112,0.38514851485148516,5000.0
1,0.5023121387283237,0.6952,0.5832214765100672,5000.0
accuracy,0.5032,0.5032,0.5032,0.5032
macro avg,0.5037534719615644,0.5032,0.48418499568077616,10000.0
weighted avg,0.5037534719615644,0.5032,0.48418499568077616,10000.0
