,Bin #,Score,Bins
0,Bin 1,0,"['R_58', 'R_225', 'R_240', 'R_51', 'R_77', 'R_301', 'R_29', 'R_44', 'R_371', 'R_283', 'R_233', 'R_390', 'R_129']"
1,Bin 2,0,"['R_148', 'R_270', 'R_55', 'R_53', 'R_378', 'R_180', 'R_122', 'R_46', 'R_182', 'R_238']"
2,Bin 3,0,"['R_352', 'R_33', 'R_335', 'R_321', 'R_1', 'R_133', 'R_294', 'R_233', 'R_136', 'R_300']"
3,Bin 4,0,"['R_218', 'R_10', 'R_121', 'R_263', 'R_379', 'R_246', 'R_108', 'R_31', 'R_386', 'R_203', 'R_114', 'R_77', 'P_5', 'R_54', 'R_185']"
4,Bin 5,0,"['R_200', 'R_161', 'R_106', 'R_324', 'R_305', 'P_6', 'R_368', 'R_199', 'R_277', 'R_279']"
5,Bin 6,0,"['R_218', 'R_287', 'R_9', 'R_30', 'R_256', 'R_237', 'R_150', 'R_255', 'R_152', 'R_319', 'R_83']"
6,Bin 7,0,"['R_125', 'R_110', 'R_134', 'R_76', 'R_68', 'R_23', 'R_343', 'R_296', 'R_171']"
7,Bin 8,0,"['R_142', 'R_239', 'R_179', 'R_111', 'R_108', 'R_226', 'R_338', 'R_157', 'R_153', 'R_137', 'R_211', 'R_205', 'R_348', 'R_319', 'R_257']"
8,Bin 9,0,"['R_42', 'R_384', 'R_119', 'R_387', 'R_311', 'R_137', 'R_72', 'R_158', 'R_283', 'R_59', 'R_151', 'R_309']"
9,Bin 10,0,"['R_197', 'R_5', 'R_260', 'R_64', 'R_258', 'R_346', 'R_8', 'R_70', 'R_267', 'R_7', 'R_337', 'R_328', 'R_11', 'R_288', 'R_86']"
10,Bin 11,0,"['R_367', 'R_194', 'R_383', 'R_33', 'R_50']"
11,Bin 12,0,"['R_332', 'R_316', 'R_333', 'R_84', 'R_166', 'R_124', 'R_147', 'R_69', 'P_8', 'R_374', 'R_101', 'R_186', 'R_217', 'R_174', 'R_75', 'R_268', 'R_365']"
12,Bin 13,0,"['R_216', 'R_132', 'R_335', 'P_3', 'R_161', 'R_116', 'R_3', 'R_37', 'R_345', 'R_266', 'R_90', 'R_99', 'R_269']"
13,Bin 14,0,"['R_35', 'R_228', 'R_330', 'R_2', 'R_165', 'R_248', 'R_167', 'R_64', 'R_375', 'R_358', 'R_154', 'R_18', 'R_78', 'R_1', 'R_41', 'R_21', 'R_240']"
14,Bin 15,0,"['R_353', 'R_364', 'R_221', 'R_241', 'R_38', 'R_50', 'R_149', 'R_376', 'R_11']"
15,Bin 16,0,"['R_379', 'R_308', 'R_386', 'R_262', 'R_307', 'R_301', 'R_327', 'R_155', 'R_279', 'R_232']"
16,Bin 17,0,"['R_202', 'R_139', 'R_22', 'R_20', 'R_375', 'R_269', 'R_302', 'R_390', 'R_213', 'R_29', 'R_102', 'R_295', 'R_244']"
17,Bin 18,0,"['R_362', 'R_3', 'R_51', 'R_117', 'R_188', 'R_95', 'R_7', 'R_318']"
18,Bin 19,0,"['R_234', 'R_100', 'R_94', 'R_62', 'R_186', 'R_336', 'R_174', 'R_114', 'R_149', 'R_182']"
