,precision,recall,f1-score,support
0,0.8592541673827118,1.0,0.9242998428690268,5000.0
1,1.0,0.8362,0.9107940311512908,5000.0
accuracy,0.9181,0.9181,0.9181,0.9181
macro avg,0.9296270836913558,0.9181,0.9175469370101588,10000.0
weighted avg,0.9296270836913558,0.9181,0.9175469370101588,10000.0
