,precision,recall,f1-score,support
0,0.9298865538404315,1.0,0.9636696540425942,5000.0
1,1.0,0.9246,0.960823028161696,5000.0
accuracy,0.9623,0.9623,0.9623,0.9623
macro avg,0.9649432769202158,0.9622999999999999,0.9622463411021451,10000.0
weighted avg,0.9649432769202158,0.9623,0.962246341102145,10000.0
