,precision,recall,f1-score,support
0,0.8533879501621437,1.0,0.9208951100469657,5000.0
1,1.0,0.8282,0.9060277868942129,5000.0
accuracy,0.9141,0.9141,0.9141,0.9141
macro avg,0.9266939750810719,0.9141,0.9134614484705893,10000.0
weighted avg,0.9266939750810718,0.9141,0.9134614484705893,10000.0
